Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID
470,70,33.0,Gabe Garcia,http://games.crossfit.com/athlete/10038,1,67.0,471 (4075),4075,0,169.0,604 (290),722 (344),1347 (116),1004 (248),398 (09:15),16,CrossFit MF,CrossFit MF,,,,,448,,,275.0,215.0,435.0,400.0,60,471,604,290,722,344,1347,116,1004,248,398,555,10038
471,71,32.0,Alexander Minich,http://games.crossfit.com/athlete/425435,1,70.08,472 (4101),4101,0,194.0,115 (312),1055 (343),266 (127),1963 (235),702 (09:37),16,,CrossFit Uberseestadt,,,,,,,,286.6,242.51,,,,472,115,312,1055,343,266,127,1963,235,702,577,425435
472,72,20.0,Harry Debenham,http://games.crossfit.com/athlete/141285,1,70.87,473 (4106),4106,0,176.37,285 (299),938 (343),2172 (114),197 (268),514 (09:24),16,Reebok CrossFit Gold Coast,CrossFit Reebok Gold Coast,,,,,,,,286.6,231.49,485.02,374.79,,473,285,299,938,343,2172,114,197,268,514,564,141285
473,73,28.0,Chris Martirano,http://games.crossfit.com/athlete/36661,1,72.0,474 (4107),4107,0,209.0,366 (297),376 (418),635 (121),1308 (243),1422 (10:11),16,CrossFit Adaptation,CrossFit Adaptation,,,,,423,,,335.0,265.0,525.0,420.0,,474,366,297,376,418,635,121,1308,243,1422,611,36661
474,74,22.0,Matt Rattay,http://games.crossfit.com/athlete/230695,1,67.0,475 (4108),4108,0,170.0,507 (292),414 (347),1589 (115),743 (252),855 (09:46),16,Three Kings Black,Three Kings CrossFit,,,,,0,,,315.0,225.0,425.0,425.0,0,475,507,292,414,347,1589,115,743,252,855,586,230695
475,75,36.0,Numi Katrinarson,http://games.crossfit.com/athlete/102177,1,71.26,476 (4112),4112,0,185.19,285 (299),1634 (341),970 (117),506 (257),717 (09:38),16,Team CrossFit Nordic,CrossFit Nordic,,,,,399,,,293.21,233.69,425.49,381.4,55,476,285,299,1634,341,970,117,506,257,717,578,102177
476,76,32.0,Andy Edwards,http://games.crossfit.com/athlete/26475,1,68.11,477 (4113),4113,0,180.0,170 (308),1490 (341),899 (118),782 (251),772 (09:41),16,Team DC,Dragon CrossFit,,,,,437,,,308.65,242.51,507.06,440.92,50,477,170,308,1490,341,899,118,782,251,772,581,26475
477,77,31.0,Bryan Weed,http://games.crossfit.com/athlete/27657,1,67.0,478 (4116),4116,0,175.0,2449 (264),712 (344),87 (130),676 (253),192 (08:52),16,CrossFit Fort Vancouver,CrossFit Fort Vancouver,,,,,,,,0.0,0.0,0.0,0.0,0,478,2449,264,712,344,87,130,676,253,192,532,27657
478,78,31.0,Mark Pfeifer,http://games.crossfit.com/athlete/44907,1,69.0,479 (4117),4117,0,178.0,755 (286),753 (344),294 (127),1200 (245),1115 (09:57),16,,Rio City CrossFit,,,,,0,,,0.0,230.0,455.0,0.0,54,479,755,286,753,344,294,127,1200,245,1115,597,44907
479,79,33.0,Blake Prime,http://games.crossfit.com/athlete/10328,1,70.0,480 (4119),4119,0,185.0,1141 (277),586 (345),1147 (116),916 (249),329 (09:08),16,Godspeed,Godspeed CrossFit,,,,,,,,,,,,,480,1141,277,586,345,1147,116,916,249,329,548,10328
480,80,35.0,Brian Stites,http://games.crossfit.com/athlete/21003,1,70.0,481 (4136),4136,0,190.0,48 (321),333 (423),2444 (113),117 (275),1194 (10:00),16,On Track,CrossFit On Track,,,,,451,,,285.0,235.0,425.0,385.0,55,481,48,321,333,423,2444,113,117,275,1194,600,21003
481,81,23.0,Arminas Balevicius,http://games.crossfit.com/athlete/432338,1,68.9,482 (4162),4162,0,170.0,200 (304),554 (345),1194 (116),1873 (236),341 (09:09),16,,CrossFit 82,,,,,,,,,,,,,482,200,304,554,345,1194,116,1873,236,341,549,432338
482,82,20.0,Ethan Helbig,http://games.crossfit.com/athlete/488055,1,71.0,483 (4191),4191,0,210.0,507 (292),499 (346),2568 (112),533 (256),84 (08:34),16,,Unaffiliated,,,,,,,,341.0,265.0,455.0,445.0,,483,507,292,499,346,2568,112,533,256,84,514,488055
483,83,27.0,John Lytle,http://games.crossfit.com/athlete/30340,1,69.0,484 (4208),4208,0,177.0,476 (293),290 (423),1927 (114),426 (260),1089 (09:56),16,Declaration CrossFit,Declaration CrossFit,,,,,,,,275.0,215.0,,385.0,70,484,476,293,290,423,1927,114,426,260,1089,596,30340
484,84,26.0,Russell Scaringi,http://games.crossfit.com/athlete/107381,1,67.0,485 (4214),4214,0,192.0,1057 (278),551 (345),705 (121),962 (248),939 (09:50),16,Coliseum Strength,MW CrossFit,,,,,317,,,315.0,260.0,455.0,405.0,40,485,1057,278,551,345,705,121,962,248,939,590,107381
485,85,28.0,Ben Thompson,http://games.crossfit.com/athlete/44445,1,67.0,486 (4215),4215,0,172.0,1025 (279),1828 (340),566 (122),148 (272),648 (09:34),16,,Dunes CrossFit,,,,,436,,,275.0,220.0,485.0,357.0,70,486,1025,279,1828,340,566,122,148,272,648,574,44445
486,86,28.0,Aaron Hyatt,http://games.crossfit.com/athlete/11785,1,73.0,487 (4220),4220,0,205.0,1294 (274),417 (347),1194 (116),598 (255),717 (09:38),16,CrossFit NOLA 504,CrossFit Nola 504,,,,,,,,345.0,285.0,525.0,455.0,55,487,1294,274,417,347,1194,116,598,255,717,578,11785
487,87,21.0,Manfredi Ottavi,http://games.crossfit.com/athlete/219057,1,70.87,488 (4239),4239,0,185.0,919 (284),1054 (343),1777 (114),310 (263),179 (08:51),16,,CrossFit Monterotondo,,,,,,,,308.65,220.46,544.54,418.88,,488,919,284,1054,343,1777,114,310,263,179,531,219057
488,88,34.0,Sean McArdle,http://games.crossfit.com/athlete/327203,1,,489 (4240),4240,0,165.0,546 (291),2527 (339),534 (123),157 (271),476 (09:21),16,,Park Slope CrossFit,,,,,,,,,,,,,489,546,291,2527,339,534,123,157,271,476,561,327203
489,89,26.0,Kevin Winkens,http://games.crossfit.com/athlete/120439,1,68.9,490 (4243),4243,0,178.57,604 (290),916 (343),2291 (114),268 (265),164 (08:48),16,,CrossFit Lost Legion,,,,,,,,286.6,211.64,440.92,407.85,57,490,604,290,916,343,2291,114,268,265,164,528,120439
490,90,24.0,Joshua Swann,http://games.crossfit.com/athlete/96472,1,66.0,491 (4244),4244,0,175.0,445 (294),1926 (340),1059 (117),387 (261),427 (09:17),16,CrossFit Nac,CrossFit Nac,,,,,0,,,315.0,245.0,465.0,450.0,0,491,445,294,1926,340,1059,117,387,261,427,557,96472
491,91,38.0,David Levey,http://games.crossfit.com/athlete/8743,1,70.08,492 (4256),4256,0,200.0,1617 (272),643 (345),534 (123),300 (264),1162 (09:59),16,CrossFit Algoa,CrossFit Algoa,,,,,456,,,319.67,268.96,473.99,440.92,60,492,1617,272,643,345,534,123,300,264,1162,599,8743
492,92,23.0,Alex Bozenhard,http://games.crossfit.com/athlete/486876,1,68.0,493 (4257),4257,0,190.0,633 (289),298 (423),2011 (114),1107 (246),208 (08:54),16,,New London CrossFit,,,,,393,,,295.0,235.0,425.0,445.0,40,493,633,289,298,423,2011,114,1107,246,208,534,486876
493,93,27.0,Trent Blackwill,http://games.crossfit.com/athlete/269063,1,70.0,494 (4263),4263,0,180.0,507 (292),203 (424),1777 (114),989 (248),787 (09:42),16,CrossFit on 18th,CrossFit on 18th,,,,,,,,335.0,275.0,425.0,405.0,,494,507,292,203,424,1777,114,989,248,787,582,269063
494,94,26.0,Hubert Kolodziejczak,http://games.crossfit.com/athlete/405717,1,,495 (4271),4271,0,,896 (285),226 (424),920 (118),1140 (246),1089 (09:56),16,,Unaffiliated,,,,,,,,,,,,,495,896,285,226,424,920,118,1140,246,1089,596,405717
495,95,25.0,Luke Kruckemeyer,http://games.crossfit.com/athlete/154264,1,72.0,496 (4288),4288,0,206.0,1949 (268),230 (424),369 (125),206 (267),1534 (10:15),16,Woodward CrossFit,Woodward CrossFit,,,,,435,,,360.0,290.0,600.0,450.0,50,496,1949,268,230,424,369,125,206,267,1534,615,154264
496,96,26.0,Miles Ailstock,http://games.crossfit.com/athlete/98310,1,69.0,497 (4317),4317,0,195.0,896 (285),1775 (341),726 (120),704 (253),216 (08:55),16,CrossFit Takeover,CrossFit Takeover,,,,,,,,,,,,,497,896,285,1775,341,726,120,704,253,216,535,98310
497,97,28.0,Raymond Fleser,http://games.crossfit.com/athlete/146921,1,72.0,498 (4324),4324,0,210.0,672 (288),390 (347),983 (117),881 (250),1398 (10:10),16,Ocean States Finest,Ocean State CrossFit,,,,,,,,330.0,270.0,485.0,445.0,50,498,672,288,390,347,983,117,881,250,1398,610,146921
498,98,35.0,Juan Cruz Sartori,http://games.crossfit.com/athlete/2220,1,68.9,499 (4327),4327,0,205.03,719 (287),378 (402),459 (124),1103 (246),1668 (10:20),16,TEAM ARGOS,CrossFit Argos San Isidro,,,,,10,,,352.74,297.62,507.06,529.11,60,499,719,287,378,402,459,124,1103,246,1668,620,2220
499,99,39.0,Robbie Perovich,http://games.crossfit.com/athlete/252855,1,75.0,500 (4334),4334,0,216.0,445 (294),1541 (341),308 (127),455 (259),1585 (10:17),16,The CENTAURS,CrossFit Fraser Valley,,,,,,,,,,0.0,0.0,,500,445,294,1541,341,308,127,455,259,1585,617,252855
500,0,25.0,Nick Thomas,http://games.crossfit.com/athlete/242732,1,68.0,501 (4353),4353,0,186.0,1372 (273),1066 (343),942 (118),765 (251),208 (08:54),16,CrossFit Marysville,CrossFit Marysville,,,,,410,,,350.0,260.0,500.0,500.0,80,501,1372,273,1066,343,942,118,765,251,208,534,242732
501,1,25.0,Jordan Roberts,http://games.crossfit.com/athlete/262521,1,73.0,502 (4377),4377,0,210.0,975 (281),116 (426),190 (128),1178 (245),1918 (10:28),16,CrossFit Oswego,CrossFit Oswego,,,,,402,,,350.0,270.0,500.0,450.0,50,502,975,281,116,426,190,128,1178,245,1918,628,262521
502,2,33.0,Bryan Diaz,http://games.crossfit.com/athlete/20717,1,69.0,503 (4393),4393,0,200.0,1860 (269),779 (344),534 (123),543 (256),677 (09:36),16,CFCM,CrossFit Costa Mesa,,,,,432,,,335.0,260.0,585.0,485.0,57,503,1860,269,779,344,534,123,543,256,677,576,20717
503,3,25.0,Justin Adams,http://games.crossfit.com/athlete/2720,1,68.0,504 (4397),4397,0,180.0,261 (300),1338 (342),1207 (116),1412 (242),179 (08:51),16,Woodward CrossFit,Woodward CrossFit,,,,,461,,,320.0,245.0,475.0,405.0,80,504,261,300,1338,342,1207,116,1412,242,179,531,2720
504,4,26.0,Mathew Hornung,http://games.crossfit.com/athlete/314160,1,,505 (4402),4402,0,195.0,507 (292),1859 (340),1059 (117),538 (256),439 (09:18),16,CrossFit Fort Vancouver,CrossFit Fort Vancouver,,,,,,,,,,,,,505,507,292,1859,340,1059,117,538,256,439,558,314160
505,5,22.0,Jordan Eldridge,http://games.crossfit.com/athlete/278313,1,70.0,506 (4403),4403,0,193.0,719 (287),1871 (340),459 (124),344 (262),1010 (09:53),16,,CrossFit Envy,,,,,,,,,,,,,506,719,287,1871,340,459,124,344,262,1010,593,278313
506,6,24.0,Dmitrii Trushkin,http://games.crossfit.com/athlete/91831,1,72.83,507 (4426),4426,0,220.0,1187 (276),573 (345),347 (126),948 (248),1371 (10:09),16,Idol,CrossFit Idol,,,,,,,,,,,,,507,1187,276,573,345,347,126,948,248,1371,609,91831
507,7,26.0,Jonathan Wall,http://games.crossfit.com/athlete/601284,1,69.0,508 (4427),4427,0,195.0,1240 (275),371 (423),173 (128),1172 (245),1471 (10:13),16,CrossFit Oneonta,CrossFit Oneonta,,,,,,,,335.0,265.0,555.0,455.0,52,508,1240,275,371,423,173,128,1172,245,1471,613,601284
508,8,21.0,Brandon Luckett,http://games.crossfit.com/athlete/308651,1,73.0,509 (4436),4436,0,197.0,672 (288),713 (344),1869 (114),455 (259),727 (09:39),16,RSCF,Red Stick CrossFit,,,,,,,,315.0,260.0,445.0,375.0,,509,672,288,713,344,1869,114,455,259,727,579,308651
509,9,29.0,Dane Dekerlegand,http://games.crossfit.com/athlete/277837,1,66.0,510 (4442),4442,0,165.0,340 (298),708 (344),2222 (114),1057 (247),115 (08:40),16,CrossFit Breaux Bridge,CrossFit Breaux Bridge,,,,,,,,,,,,,510,340,298,708,344,2222,114,1057,247,115,520,277837
510,10,34.0,Justin King,http://games.crossfit.com/athlete/267872,1,69.0,511 (4448),4448,0,215.0,366 (297),342 (423),1843 (114),1395 (242),502 (09:23),16,Slingin Iron CrossFit,Slingin Iron CrossFit,,,,,,,,365.0,300.0,535.0,515.0,47,511,366,297,342,423,1843,114,1395,242,502,563,267872
511,11,26.0,Kaylor Hasbargen,http://games.crossfit.com/athlete/42385,1,70.0,512 (4450),4450,0,185.0,45 (322),912 (343),2416 (113),936 (249),141 (08:44),16,Sumner CrossFit Banecatz,Sumner CrossFit,,,,,501,,,310.0,255.0,440.0,370.0,70,512,45,322,912,343,2416,113,936,249,141,524,42385
512,12,33.0,Ben Alderman,http://games.crossfit.com/athlete/4537,1,70.0,513 (4453),4453,0,208.0,1372 (273),30 (430),234 (127),491 (258),2326 (10:39),16,Iron Mile,CrossFit Iron Mile,,,,,0,,,355.0,293.0,515.0,440.0,60,513,1372,273,30,430,234,127,491,258,2326,639,4537
513,13,28.0,Justin Ahrens,http://games.crossfit.com/athlete/1868,1,73.0,513 (4453),4453,0,195.0,1372 (273),583 (345),1015 (117),568 (255),915 (09:49),16,CrossFit Metalize,CrossFit MetaliZe,,,,,0,,,330.0,272.0,500.0,420.0,64,513,1372,273,583,345,1015,117,568,255,915,589,1868
514,14,27.0,Charlie Hulbert,http://games.crossfit.com/athlete/257896,1,68.0,515 (4457),4457,0,188.0,1682 (271),1026 (343),276 (127),857 (250),616 (09:31),16,Team Coveted,CrossFit Coveted,,,,,,,,340.0,290.0,445.0,450.0,50,515,1682,271,1026,343,276,127,857,250,616,571,257896
515,15,29.0,Robert Mendoza,http://games.crossfit.com/athlete/97909,1,69.0,516 (4463),4463,0,170.0,1294 (274),1283 (342),1155 (116),499 (258),232 (08:57),16,,Unaffiliated,,,,,,,,295.0,225.0,455.0,405.0,,516,1294,274,1283,342,1155,116,499,258,232,537,97909
516,16,26.0,Justin Wright,http://games.crossfit.com/athlete/18320,1,70.0,516 (4463),4463,0,195.0,1372 (273),577 (345),534 (123),242 (266),1738 (10:22),16,Team Back Bay,Reebok CrossFit Back Bay,,,,,0,,,345.0,275.0,525.0,475.0,53,516,1372,273,577,345,534,123,242,266,1738,622,18320
517,17,30.0,Apollo Lewis,http://games.crossfit.com/athlete/250055,1,70.0,518 (4470),4470,0,195.0,996 (280),1227 (342),719 (120),706 (253),822 (09:44),16,Tulalip Bay CrossFit,Tulalip Bay CrossFit,,,,,422,,,310.0,250.0,475.0,410.0,68,518,996,280,1227,342,719,120,706,253,822,584,250055
518,18,28.0,Mike Catris,http://games.crossfit.com/athlete/14019,1,70.0,519 (4476),4476,0,196.0,1294 (274),628 (345),503 (123),680 (253),1371 (10:09),16,Team DC Llanishen,Dragon CrossFit Llanishen,,,,,340,,,341.72,273.37,551.15,440.92,49,519,1294,274,628,345,503,123,680,253,1371,609,14019
519,19,29.0,Christopher Clyde,http://games.crossfit.com/athlete/20633,1,72.0,520 (4483),4483,0,215.0,189 (305),720 (344),2278 (114),594 (255),702 (09:37),16,CrossFit Balance,CrossFit Balance,,,,,0,,,0.0,0.0,0.0,0.0,0,520,189,305,720,344,2278,114,594,255,702,577,20633
520,20,32.0,John Zvejnieks,http://games.crossfit.com/athlete/14289,1,69.0,521 (4508),4508,0,200.0,1141 (277),161 (425),1966 (114),679 (253),561 (09:28),16,Down East CrossFit,Down East CrossFit,,,,,101,,,666.0,666.0,666.0,666.0,666,521,1141,277,161,425,1966,114,679,253,561,568,14289
521,21,28.0,Aaron Kimberly,http://games.crossfit.com/athlete/491725,1,69.0,522 (4519),4519,0,210.0,1372 (273),401 (347),1578 (115),770 (251),398 (09:15),16,CFNX,CrossFit Nixa,,,,,,,,325.0,235.0,570.0,550.0,,522,1372,273,401,347,1578,115,770,251,398,555,491725
522,22,25.0,Jordan Jiunta,http://games.crossfit.com/athlete/217163,1,65.0,522 (4519),4519,0,170.0,755 (286),1191 (342),1436 (115),661 (254),476 (09:21),16,Sundown CrossFit,Sundown CrossFit,,,,,0,,,0.0,0.0,0.0,0.0,0,522,755,286,1191,342,1436,115,661,254,476,561,217163
523,23,29.0,Mitch Beaver,http://games.crossfit.com/athlete/45548,1,70.0,524 (4522),4522,0,185.0,966 (282),988 (343),1578 (115),528 (257),462 (09:20),16,CrossFit Exalt,CrossFit Exalt,,,,,432,,,315.0,245.0,455.0,405.0,60,524,966,282,988,343,1578,115,528,257,462,560,45548
524,24,22.0,Brandon Sanchez,http://games.crossfit.com/athlete/357033,1,66.0,525 (4523),4523,0,160.0,2058 (267),314 (423),1589 (115),516 (257),46 (08:20),16,,CrossFit Lethal,,,,,,,,325.0,240.0,455.0,405.0,66,525,2058,267,314,423,1589,115,516,257,46,500,357033
525,25,27.0,Dustin Raul Stumpf,http://games.crossfit.com/athlete/535673,1,71.0,526 (4528),4528,0,195.0,755 (286),1014 (343),434 (124),1386 (243),939 (09:50),16,American River CrossFit,American River CrossFit,,,,,,,,310.0,255.0,505.0,485.0,80,526,755,286,1014,343,434,124,1386,243,939,590,535673
526,26,31.0,Francois Leclerc,http://games.crossfit.com/athlete/67579,1,,527 (4539),4539,0,175.0,1772 (270),253 (424),352 (126),869 (250),1293 (10:05),16,Physics CrossFit,Physics CrossFit,,,,,,,,,,,,,527,1772,270,253,424,352,126,869,250,1293,605,67579
527,27,29.0,Andrew Malek-Zadeh,http://games.crossfit.com/athlete/10405,1,73.0,528 (4548),4548,0,215.0,944 (283),223 (424),1544 (115),567 (255),1270 (10:04),16,CrossFit Endzone,CrossFit Endzone,,,,,,,,350.0,275.0,525.0,475.0,50,528,944,283,223,424,1544,115,567,255,1270,604,10405
528,28,23.0,Christian Congden,http://games.crossfit.com/athlete/323326,1,71.0,529 (4554),4554,0,195.0,755 (286),438 (346),2265 (114),847 (250),249 (08:59),16,CrossFit North Charleston,CrossFit North Charleston,,,,,,,,325.0,255.0,475.0,405.0,46,529,755,286,438,346,2265,114,847,250,249,539,323326
529,29,26.0,John Coltey,http://games.crossfit.com/athlete/109346,1,69.0,530 (4561),4561,0,188.0,1187 (276),520 (346),176 (128),794 (251),1884 (10:27),16,CrossFit Laminin,CrossFit Laminin,,,,,,,,,,,,,530,1187,276,520,346,176,128,794,251,1884,627,109346
530,30,31.0,Colin Cunningham,http://games.crossfit.com/athlete/102911,1,67.0,531 (4586),4586,0,168.0,1141 (277),923 (343),605 (122),605 (255),1312 (10:06),16,EndGame Athletics,CrossFit EGA,,,,,420,,,290.0,235.0,500.0,410.0,55,531,1141,277,923,343,605,122,605,255,1312,606,102911
531,31,26.0,Bryce Smith,http://games.crossfit.com/athlete/27081,1,76.0,532 (4594),4594,0,215.0,476 (293),760 (344),1239 (116),623 (254),1496 (10:14),16,Invictus,CrossFit Invictus,,,,,,,,0.0,0.0,0.0,0.0,0,532,476,293,760,344,1239,116,623,254,1496,614,27081
532,32,30.0,Zachary Forrest,http://games.crossfit.com/athlete/10593,1,67.0,533 (4598),4598,0,175.0,633 (289),327 (423),983 (117),1904 (236),751 (09:40),16,Max Effort Avengers,CrossFit Max Effort,,,,,425,,,325.0,265.0,485.0,425.0,74,533,633,289,327,423,983,117,1904,236,751,580,10593
533,33,34.0,Joel Bran,http://games.crossfit.com/athlete/138674,1,70.87,534 (4607),4607,0,222.0,2058 (267),87 (427),1225 (116),402 (260),835 (09:45),16,,Erei CrossFit,,,,,,,,365.0,260.0,500.0,490.0,,534,2058,267,87,427,1225,116,402,260,835,585,138674
534,34,30.0,Simon Greenwood,http://games.crossfit.com/athlete/25579,1,69.69,535 (4618),4618,0,182.98,633 (289),740 (344),1521 (115),1184 (245),540 (09:26),16,,CrossFit Oxford Originals,,,,,,,,299.83,238.1,462.97,403.45,50,535,633,289,740,344,1521,115,1184,245,540,566,25579
535,35,28.0,Dean Shaw,http://games.crossfit.com/athlete/64728,1,70.08,536 (4621),4621,0,182.0,755 (286),1566 (341),664 (121),547 (256),1089 (09:56),16,,CrossFit Algoa,,,,,0,,,0.0,0.0,0.0,0.0,0,536,755,286,1566,341,664,121,547,256,1089,596,64728
536,36,27.0,Ashley Jordan,http://games.crossfit.com/athlete/249748,1,72.0,537 (4627),4627,0,215.0,1860 (269),120 (426),556 (122),1195 (245),896 (09:48),16,South Loop Strength and Conditioning,South Loop CrossFit,,,,,,,,365.0,300.0,595.0,450.0,52,537,1860,269,120,426,556,122,1195,245,896,588,249748
537,37,26.0,Tommy Snarr,http://games.crossfit.com/athlete/9952,1,74.0,538 (4636),4636,0,216.0,2760 (261),517 (346),119 (129),202 (268),1038 (09:54),16,CrossFit Select,CrossFit Select,,,,,,,,0.0,0.0,0.0,0.0,,538,2760,261,517,346,119,129,202,268,1038,594,9952
538,38,37.0,Jeremy Hilsen,http://games.crossfit.com/athlete/160922,1,70.0,539 (4640),4640,0,190.0,2869 (260),153 (425),234 (127),295 (264),1089 (09:56),16,CrossFit Tarpon Springs,CrossFit Tarpon Springs,,,,,421,,,315.0,245.0,545.0,475.0,48,539,2869,260,153,425,234,127,295,264,1089,596,160922
539,39,43.0,Charlie Cassara,http://games.crossfit.com/athlete/108722,1,70.0,540 (4654),4654,0,190.0,476 (293),811 (344),1508 (115),589 (255),1270 (10:04),16,SC CrossFit165,SC CrossFit 165,,,,,405,,,275.0,235.0,505.0,385.0,,540,476,293,811,344,1508,115,589,255,1270,604,108722
540,40,25.0,Alex Miller,http://games.crossfit.com/athlete/252384,1,,541 (4656),4656,0,215.0,546 (291),2494 (339),222 (127),906 (249),488 (09:22),16,CrossFit  over the mountain,CrossFit Over the Mountain,,,,,,,,,,,,,541,546,291,2494,339,222,127,906,249,488,562,252384
541,41,29.0,Batuque Iribarren,http://games.crossfit.com/athlete/546254,1,0.79,542 (4665),4665,0,205.0,1372 (273),1091 (343),222 (127),1303 (243),677 (09:36),16,,Unaffiliated,,,,,,,,308.65,264.55,507.06,440.92,65,542,1372,273,1091,343,222,127,1303,243,677,576,546254
542,42,35.0,Tim Steel,http://games.crossfit.com/athlete/7543,1,70.0,543 (4675),4675,0,177.0,422 (295),914 (343),1378 (116),799 (251),1162 (09:59),16,CrossFit Hershey,CrossFit Hershey,,,,,426,,,295.0,215.0,505.0,390.0,55,543,422,295,914,343,1378,116,799,251,1162,599,7543
543,43,29.0,Julian Reinhold,http://games.crossfit.com/athlete/93934,1,70.08,544 (4680),4680,0,182.0,919 (284),519 (346),920 (118),1052 (247),1270 (10:04),16,myleo CrossFit,Myleo CrossFit,,,,,,,,286.6,220.46,518.09,440.92,,544,919,284,519,346,920,118,1052,247,1270,604,93934
544,44,31.0,Erik Fay,http://games.crossfit.com/athlete/1653,1,70.0,545 (4693),4693,0,195.0,1294 (274),1030 (343),743 (120),854 (250),772 (09:41),16,CrossFit Lifted,CrossFit Lifted,,,,,0,,,0.0,0.0,0.0,0.0,0,545,1294,274,1030,343,743,120,854,250,772,581,1653
545,45,21.0,Devon Hoelscher,http://games.crossfit.com/athlete/261488,1,68.0,546 (4696),4696,0,170.0,919 (284),971 (343),647 (121),1432 (242),727 (09:39),16,T Bone CrossFit,T Bone CrossFit,,,,,,,,265.0,210.0,455.0,375.0,47,546,919,284,971,343,647,121,1432,242,727,579,261488
546,46,39.0,Bradley Pritchard,http://games.crossfit.com/athlete/101262,1,67.0,547 (4707),4707,0,165.0,170 (308),2392 (339),214 (127),792 (251),1139 (09:58),16,CF285 Swift Iron,CrossFit 285,,,,,433,,,270.0,217.0,480.0,390.0,83,547,170,308,2392,339,214,127,792,251,1139,598,101262
547,47,26.0,Mitch McClune,http://games.crossfit.com/athlete/289710,1,68.0,548 (4722),4722,0,175.0,755 (286),524 (346),1239 (116),1289 (244),915 (09:49),16,Team SpaceCoast CrossFit,Space Coast CrossFit,,,,,,,,335.0,265.0,485.0,485.0,,548,755,286,524,346,1239,116,1289,244,915,589,289710
548,48,27.0,Billy Breider,http://games.crossfit.com/athlete/241123,1,70.0,549 (4727),4727,0,183.0,1372 (273),1260 (342),494 (123),439 (260),1162 (09:59),16,CrossFit 1847,CrossFit 1847,,,,,431,,,320.0,255.0,475.0,420.0,50,549,1372,273,1260,342,494,123,439,260,1162,599,241123
549,49,27.0,Gary Jones,http://games.crossfit.com/athlete/28024,1,72.0,550 (4729),4729,0,193.0,919 (284),678 (345),1296 (116),697 (253),1139 (09:58),16,Tango Charlie,CrossFit Paradigm Performance,,,,,,,,365.0,275.0,500.0,500.0,,550,919,284,678,345,1296,116,697,253,1139,598,28024
550,50,21.0,Joakim Törnvi,http://games.crossfit.com/athlete/37422,1,72.83,551 (4731),4731,0,196.21,755 (286),253 (424),148 (128),1657 (239),1918 (10:28),16,CrossFit Falun Måndagsklubben,CrossFit Falun,,,,,,,,308.65,253.53,485.02,440.92,33,551,755,286,253,424,148,128,1657,239,1918,628,37422
551,51,46.0,Bill Grundler,http://games.crossfit.com/athlete/8747,1,72.0,552 (4734),4734,0,195.0,1057 (278),738 (344),882 (118),686 (253),1371 (10:09),16,CrossFit Inferno,CrossFit Inferno,,,,,440,,,285.0,225.0,455.0,400.0,56,552,1057,278,738,344,882,118,686,253,1371,609,8747
552,52,31.0,Omar Luaces,http://games.crossfit.com/athlete/3543,1,64.96,553 (4743),4743,0,163.14,1372 (273),1653 (341),1059 (117),467 (259),192 (08:52),16,,CrossFit Naron,,,,,,,,286.6,220.46,551.15,407.85,55,553,1372,273,1653,341,1059,117,467,259,192,532,3543
553,53,19.0,Spencer Panchik,http://games.crossfit.com/athlete/162712,1,68.0,554 (4762),4762,0,175.0,1372 (273),832 (344),407 (125),483 (258),1668 (10:20),16,CrossFit Mentality,CrossFit Mentality,,,,,,,,340.0,256.0,475.0,445.0,,554,1372,273,832,344,407,125,483,258,1668,620,162712
554,54,35.0,Adam Izzo,http://games.crossfit.com/athlete/237783,1,69.0,555 (4771),4771,0,175.0,115 (312),1195 (342),287 (127),2786 (226),388 (09:14),16,CrossFit 508,CrossFit 508,,,,,,,,,,,,,555,115,312,1195,342,287,127,2786,226,388,554,237783
555,55,25.0,Jake Pinchback,http://games.crossfit.com/athlete/260994,1,68.0,556 (4773),4773,0,168.0,604 (290),970 (343),1129 (116),999 (248),1071 (09:55),16,CrossFit Tall City,CrossFit Tall City,,,,,,,,285.0,245.0,475.0,405.0,53,556,604,290,970,343,1129,116,999,248,1071,595,260994
556,56,28.0,phillip teixeira,http://games.crossfit.com/athlete/10118,1,68.0,557 (4781),4781,0,190.0,1240 (275),895 (344),482 (123),714 (253),1450 (10:12),16,,CrossFit Showdown,,,,,,,,345.0,275.0,505.0,445.0,45,557,1240,275,895,344,482,123,714,253,1450,612,10118
557,57,27.0,Eiríkur Baldursson,http://games.crossfit.com/athlete/9043,1,71.65,558 (4788),4788,0,191.0,200 (304),562 (345),664 (121),700 (253),2662 (10:47),16,Team Crossfit Copenhagen 1,CrossFit Nordvest,,,,,397,,,286.6,279.99,462.97,374.79,63,558,200,304,562,345,664,121,700,253,2662,647,9043
