,"Unnamed: 0",Athlete,Athlete_URL,Games_Finish,Year,Games_Score,Games_Place,Division,Event_#,Event_ID,Event_Place,Event_Points,Event_Raw_Score,Event_Score
0,0,"Rich Froning",http://games.crossfit.com/athlete/11435,"1 (1089)",2012,1089,1,1,2,2012_02,12,63,02:06:00,7560
1,1,"Matt Chan",http://games.crossfit.com/athlete/17703,"2 (975)",2012,975,2,1,2,2012_02,17,53,02:07:16,7636
2,2,"Kyle Kasperbauer",http://games.crossfit.com/athlete/25569,"3 (930)",2012,930,3,1,2,2012_02,3,90,02:01:54,7314
3,3,"Scott Panchik",http://games.crossfit.com/athlete/34796,"4 (892)",2012,892,4,1,2,2012_02,4,85,02:02:32,7352
4,4,"Jason Khalipa",http://games.crossfit.com/athlete/12485,"5 (885)",2012,885,5,1,2,2012_02,31,26,02:16:16,8176
5,5,"Dan Bailey",http://games.crossfit.com/athlete/47661,"6 (860)",2012,860,6,1,2,2012_02,24,39,02:10:37,7837
6,6,"Marcus Hendren",http://games.crossfit.com/athlete/16421,"7 (846)",2012,846,7,1,2,2012_02,20,47,02:09:35,7775
7,7,"Austin Malleolo",http://games.crossfit.com/athlete/10169,"8 (840)",2012,840,8,1,2,2012_02,11,65,02:05:35,7535
8,8,"Chad Mackay",http://games.crossfit.com/athlete/51041,"9 (829)",2012,829,9,1,2,2012_02,1,100,01:57:33,7053
9,9,"Graham Holmberg",http://games.crossfit.com/athlete/11451,"10 (813)",2012,813,10,1,2,2012_02,21,45,02:09:36,7776
10,10,"Ben Smith",http://games.crossfit.com/athlete/43761,"11 (808)",2012,808,11,1,2,2012_02,5,80,02:02:37,7357
11,11,"Nate Schrader",http://games.crossfit.com/athlete/53314,"12 (801)",2012,801,12,1,2,2012_02,41,16,02:26:38,8798
12,12,"Spencer Hendel",http://games.crossfit.com/athlete/50866,"13 (735)",2012,735,13,1,2,2012_02,29,29,02:14:26,8066
13,13,"Daniel Tyminski",http://games.crossfit.com/athlete/5284,"14 (701)",2012,701,14,1,2,2012_02,13,61,02:06:13,7573
14,14,"Lucas Parker",http://games.crossfit.com/athlete/38209,"15 (685)",2012,685,15,1,2,2012_02,38,19,02:24:12,8652
