,Unnamed: 0,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups
21,21,28,Mohamed Elomda,http://games.crossfit.com/athlete/487949,1,70.87,22 (124),0,1,94 kg,16 (289),43 (340),18 (123),22 (250),25 (09:53),16,,,2:31,--,1:15,--,--,--,17:13,310 lb,245 lb,550 lb,385 lb,62
22,22,25,Luke Holmes,http://games.crossfit.com/athlete/112774,1,66.0,23 (126),0,1,165 lb,9 (293),22 (343),46 (114),28 (245),21 (09:39),16,,CrossFit 965,2:44,9:00,--,--,--,--,--,300 lb,240 lb,445 lb,415 lb,49
23,23,23,Alex Younger,http://games.crossfit.com/athlete/151872,1,68.9,24 (128),0,1,167 lb,24 (278),7 (423),61 (112),27 (248),9 (09:13),16,CPCF Salmiya,Circuit Plus CrossFit Gulf Road,2:51,7:54,--,--,398,--,20:02,136 kg,110 kg,202 kg,168 kg,37
24,24,28,Richard Smith,http://games.crossfit.com/athlete/21707,1,72.05,24 (128),0,1,187 lb,39 (270),20 (344),26 (117),15 (256),28 (09:56),16,CrossFit Kyalami,CrossFit Kyalami,2:09,0:00,1:58,0:00,418,0:00,16:45,305 lb,235 lb,485 lb,418 lb,70
25,25,29,Ram Dover,http://games.crossfit.com/athlete/4354,1,70.87,26 (131),0,1,189 lb,44 (268),40 (340),10 (127),5 (270),32 (10:05),16,CrossFit TLV,CrossFit TLV,2:50,8:24,2:26,20:34,0,1:02,20:15,130 kg,105 kg,210 kg,180 kg,40
26,26,24,Sam Henderson,http://games.crossfit.com/athlete/39706,1,70.87,27 (133),0,1,198 lb,2 (312),56 (339),3 (133),59 (219),13 (09:19),16,,CrossFit Yas,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
27,27,26,Darren Thornton,http://games.crossfit.com/athlete/298971,1,,28 (174),0,1,204 lb,11 (292),38 (341),50 (114),61 (218),14 (09:22),16,,CrossFit 965,--,--,--,--,--,--,--,--,--,--,--,--
28,28,21,Arno van der Merwe,http://games.crossfit.com/athlete/287982,1,66.54,29 (208),0,1,182 lb,44 (268),45 (340),40 (115),64 (216),15 (09:25),16,CrossFit Paarl Wolves,CrossFit Paarl,2:42,8:32,--,--,--,--,--,264 lb,225 lb,505 lb,418 lb,--
29,29,26,Robbie Heuer,http://games.crossfit.com/athlete/226694,1,72.83,29 (208),0,1,185 lb,51 (264),64 (339),31 (116),25 (249),37 (10:25),16,,CrossFit Resuelto,2:47,8:20,2:22,--,--,--,--,125 kg,95 kg,240 kg,--,45
30,30,25,David ben David,http://games.crossfit.com/athlete/108126,1,70.87,31 (220),0,1,185 lb,25 (274),28 (342),32 (116),83 (213),52 (10:44),16,Maccabeast team,CrossFit Hadar Yosef,2:22,6:29,1:50,18:32,--,--,--,315 lb,265 lb,540 lb,450 lb,60
31,31,30,Jean-Charles Besnard,http://games.crossfit.com/athlete/174108,1,68.5,32 (241),0,1,180 lb,40 (269),50 (340),46 (114),55 (222),50 (10:43),16,Casa CrossFit,Casa CrossFit,3:16,--,3:41,--,271,1:01,20:12,136 kg,110 kg,225 kg,184 kg,53
32,32,27,Roman Chausse,http://games.crossfit.com/athlete/238144,1,72.44,33 (280),0,1,202 lb,82 (248),88 (262),26 (117),23 (250),61 (10:55),16,Crossfit The Slab,CrossFit The Slab,--,--,--,--,--,--,--,135 kg,100 kg,210 kg,170 kg,--
33,33,20,Yunus Emre Ilhan,http://games.crossfit.com/athlete/270165,1,68.5,34 (287),0,1,78 kg,34 (272),23 (343),55 (114),160 (204),15 (09:25),16,,Antrum CrossFit,2:09,--,--,--,--,--,--,120 kg,105 kg,190 kg,165 kg,--
34,34,26,Jacques Van Der Walt,http://games.crossfit.com/athlete/449896,1,68.9,35 (301),0,1,179 lb,135 (236),34 (341),39 (115),52 (224),41 (10:31),16,CrossFit Pretoria,CrossFit Pretoria,3:30,--,--,--,350,--,--,130 kg,105 kg,200 kg,180 kg,--
35,35,20,Ruan Conradie,http://games.crossfit.com/athlete/563087,1,69.29,36 (307),0,1,80 kg,144 (234),58 (339),38 (116),44 (226),23 (09:49),16,,CrossFit M4M,2:48,--,2:28,--,--,--,--,135 kg,113 kg,230 kg,175 kg,50
36,36,24,Gil Leor,http://games.crossfit.com/athlete/236812,1,69.29,37 (312),0,1,185 lb,80 (249),45 (340),78 (109),75 (214),34 (10:17),16,CrossFit TLV,CrossFit TLV,--,--,--,--,--,--,--,133 kg,107 kg,180 kg,160 kg,--
37,37,22,Brandon Jacobs,http://games.crossfit.com/athlete/398197,1,70.47,38 (313),0,1,200 lb,48 (266),51 (340),37 (116),71 (215),106 (11:36),16,,CrossFit PBM,2:40,--,--,--,395,--,--,145 kg,115 kg,235 kg,200 kg,46
38,38,29,Ross Gilmour,http://games.crossfit.com/athlete/147800,1,68.9,39 (316),0,1,179 lb,59 (260),70 (339),95 (106),70 (216),22 (09:40),16,Team Gold Box,CrossFit Gold Box,3:04,--,--,--,--,--,--,130 kg,98 kg,215 kg,188 kg,38
39,39,28,Ashley Smit,http://games.crossfit.com/athlete/50380,1,69.29,40 (317),0,1,78 kg,54 (262),36 (341),135 (103),45 (226),47 (10:35),16,Team CrossFit Tokai,CrossFit Tokai,0:00,9:25,2:30,0:00,337,1:10,23:00,275 lb,236 lb,505 lb,435 lb,61
40,40,28,Johan Van Deventer,http://games.crossfit.com/athlete/573532,1,,41 (318),0,1,209 lb,14 (290),138 (259),30 (116),96 (210),40 (10:29),16,RTF CrossFit Repeat,RTF CrossFit Repeat,--,--,--,--,--,--,--,--,--,--,--,--
41,41,32,Eugene Babenko,http://games.crossfit.com/athlete/37267,1,68.0,42 (321),0,1,176 lb,29 (273),59 (339),126 (103),69 (216),38 (10:27),16,Team Gold Box,CrossFit Gold Box,2:34,0:00,0:00,0:00,--,0:00,0:00,280 lb,240 lb,--,370 lb,50
42,42,25,Adam Grinker,http://games.crossfit.com/athlete/510347,1,70.47,42 (321),0,1,85 kg,101 (244),66 (339),46 (114),53 (223),55 (10:49),16,Maccabeast team,CrossFit Hadar Yosef,3:04,--,--,--,--,--,--,115 kg,105 kg,200 kg,160 kg,--
43,43,28,Garth High,http://games.crossfit.com/athlete/24939,1,67.32,44 (329),0,1,187 lb,112 (242),32 (341),120 (103),32 (241),33 (10:10),16,CrossFit BrackenGate,CrossFit BrackenGate,0:00,0:00,4:43,0:00,344,0:00,0:00,130 kg,115 kg,200 kg,200 kg,12
44,44,37,Rasul Akhmedov,http://games.crossfit.com/athlete/269987,1,71.65,44 (329),0,1,231 lb,47 (267),106 (261),66 (111),43 (226),67 (11:00),16,,Compact CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
45,45,22,Amin Attallah,http://games.crossfit.com/athlete/315266,1,,44 (329),0,1,170 lb,52 (263),69 (339),52 (114),98 (210),58 (10:53),16,962 Avengers,CrossFit 962,2:33,--,--,--,--,--,--,130 kg,103 kg,185 kg,155 kg,60
46,46,22,Ali Bin Zayed,http://games.crossfit.com/athlete/26225,1,71.26,47 (337),0,1,187 lb,73 (253),83 (336),53 (114),63 (218),65 (10:58),16,,CrossFit Utmost,2:38,8:29,1:50,21:24,411,0:59,23:45,285 lb,236 lb,515 lb,385 lb,58
47,47,29,Khalid Aljarallah,http://games.crossfit.com/athlete/703126,1,,48 (361),0,1,--,135 (236),60 (339),75 (110),34 (238),57 (10:50),16,CPCF Salmiya,Circuit Plus CrossFit Gulf Road,--,--,--,--,--,--,--,--,--,--,--,--
48,48,26,Yavuz Senturk,http://games.crossfit.com/athlete/194698,1,68.11,49 (368),0,1,178 lb,36 (271),30 (341),41 (115),243 (198),18 (09:28),16,,,0:00,--,--,--,--,--,--,0 lb,0 lb,0 lb,0 lb,0
49,49,34,Martin Ziegler,http://games.crossfit.com/athlete/427089,1,,50 (371),0,1,160 lb,59 (260),102 (261),25 (118),144 (205),41 (10:31),16,CrossFit Metalize,CrossFit MetaliZe,--,--,--,--,--,--,--,--,--,--,--,--
50,50,27,Nicolai Mainz,http://games.crossfit.com/athlete/100944,1,69.29,51 (372),0,1,189 lb,40 (269),73 (339),66 (111),116 (208),77 (11:10),16,Team Gold Box,CrossFit Gold Box,3:26,--,1:46,--,--,--,--,130 kg,100 kg,190 kg,155 kg,42
51,51,25,Zohar Lipkin,http://games.crossfit.com/athlete/50199,1,71.26,52 (381),0,1,210 lb,80 (249),107 (261),103 (105),47 (225),44 (10:32),16,CrossFit Kfar Saba,CrossFit Kfar Saba,2:16,--,2:08,--,--,--,--,140 kg,120 kg,218 kg,200 kg,--
52,52,23,Devin Ramsden,http://games.crossfit.com/athlete/436419,1,,53 (390),0,1,--,87 (247),112 (260),73 (110),37 (228),81 (11:15),16,CrossFit Kyalami,CrossFit Kyalami,--,--,--,--,--,--,--,--,--,--,--,--
53,53,31,Alp Arabacioglu,http://games.crossfit.com/athlete/459214,1,70.08,54 (397),0,1,189 lb,97 (246),26 (342),83 (108),38 (228),153 (12:09),16,,Antrum CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
54,54,25,Louis Achadinha,http://games.crossfit.com/athlete/39726,1,66.93,55 (406),0,1,72 kg,74 (252),72 (339),88 (107),136 (206),36 (10:24),16,,CrossFit 1448,0:00,0:00,0:00,0:00,--,0:58,17:56,0 kg,0 kg,0 kg,0 kg,--
55,55,31,Hannes du Toit,http://games.crossfit.com/athlete/29844,1,70.08,56 (408),0,1,180 lb,74 (252),35 (341),50 (114),172 (203),77 (11:10),16,BST CrossFit,BST CrossFit,2:48,9:00,3:00,24:00,346,0:54,19:30,135 kg,100 kg,205 kg,190 kg,30
56,56,32,Haitham Mahgoub,http://games.crossfit.com/athlete/177132,1,70.87,57 (430),0,1,--,124 (239),75 (339),108 (104),33 (239),90 (11:25),16,,CrossFit Demento,--,--,--,--,--,--,--,--,--,--,--,--
57,57,26,Samuel Mitchel,http://games.crossfit.com/athlete/297124,1,69.0,58 (432),0,1,190 lb,36 (271),121 (260),89 (107),90 (211),96 (11:29),16,,CrossFit Arifjan,--,--,--,--,--,--,--,--,--,--,--,--
58,58,25,Daniel Sherbakov,http://games.crossfit.com/athlete/286603,1,70.47,59 (441),0,1,190 lb,87 (247),76 (339),109 (104),89 (211),80 (11:13),16,,CrossFit Namal,--,--,--,--,--,--,--,140 kg,110 kg,240 kg,180 kg,--
59,59,27,Abdel Rahman Suliman,http://games.crossfit.com/athlete/366154,1,,60 (447),0,1,--,67 (259),110 (261),82 (108),30 (244),158 (12:14),16,,CrossFit Stars,--,--,--,--,--,--,--,--,--,--,--,--
60,60,25,Omar Fleah,http://games.crossfit.com/athlete/238573,1,69.29,61 (449),0,1,--,36 (271),68 (339),23 (120),230 (199),92 (11:27),16,CrossFit Engine38,CrossFit Engine 38,--,--,--,--,--,--,--,--,--,--,--,--
61,61,28,Ivan Marjanovic,http://games.crossfit.com/athlete/247621,1,72.83,62 (451),0,1,189 lb,29 (273),57 (339),45 (114),254 (197),66 (10:59),16,CPCF Salmiya,Circuit Plus CrossFit Gulf Road,2:57,7:07,--,--,--,--,--,235 lb,185 lb,495 lb,355 lb,--
