Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID,Reg_Finish,Reg_Place,Reg_Score,Reg_Wk1_Finish,Reg_Wk1_Place,Reg_Wk2_Finish,Reg_Wk2_Place,Reg_Wk3_Finish,Reg_Wk3_Place,Reg_Wk4_Finish,Reg_Wk4_Place,Regional,Regional_Name,Region_Name,Reg_Cutoff,Reg_Actual,Reg_Auto_Qualify,Reg_Actual_Qualify,Status,Status_Code
10,10,26.0,Jacob Heppner,http://games.crossfit.com/athlete/199938,1,68.0,11 (186),186,10,192.0,2 (350),70 (427),13 (140),91 (276),10 (07:53),16,Cobra 1,Cobra Command CrossFit,,,,,,,,,,,,,11,2,350,70,427,13,140,91,276,10,473,199938,1 (15),1,15,1 (350),1,1 (350),1,1 (350),1,1 (350),1,3,Central,North Central,20,21,1,1,Accepted,1
11,11,23.0,Rasmus Wisbech Andersen,http://games.crossfit.com/athlete/8896,1,72.0,12 (270),270,16,208.0,21 (325),21 (430),69 (131),12 (296),147 (08:45),16,Invictus,CrossFit Invictus,127.0,,,,0.0,62.0,1190.0,335.0,280.0,485.0,455.0,0.0,12,21,325,21,430,69,131,12,296,147,525,8896,2 (25),2,25,2 (325),2,2 (325),2,2 (325),2,2 (325),2,2,California,SoCal,20,24,1,1,Accepted,1
12,12,23.0,Zak Carchedi,http://games.crossfit.com/athlete/96973,1,69.0,13 (302),302,10,184.0,66 (318),81 (427),28 (138),113 (275),14 (08:01),16,Cobra 1,Cobra Command CrossFit,150.0,510.0,105.0,,,,1260.0,340.0,275.0,515.0,475.0,40.0,13,66,318,81,427,28,138,113,275,14,481,96973,2 (31),2,31,8 (318),8,8 (318),8,8 (318),8,8 (318),8,3,Central,North Central,20,21,1,1,Accepted,1
13,13,23.0,Alex Vigneault,http://games.crossfit.com/athlete/180541,1,71.0,14 (305),305,4,205.0,48 (321),9 (430),19 (140),13 (295),216 (08:55),16,CrossFit Quebec City 2,CrossFit Quebec City,134.0,432.0,71.0,894.0,457.0,,1170.0,360.0,300.0,600.0,455.0,72.0,14,48,321,9,430,19,140,13,295,216,535,180541,3 (23),3,23,4 (321),4,4 (321),4,4 (321),4,4 (321),4,4,East,Canada East,20,24,1,1,Accepted,1
14,14,24.0,Travis Williams,http://games.crossfit.com/athlete/14960,1,69.0,15 (322),322,14,205.0,60 (319),40 (429),159 (128),32 (287),31 (08:13),16,U Can CrossFit,U Can CrossFit,,461.0,,,486.0,,1255.0,365.0,290.0,565.0,475.0,50.0,15,60,319,40,429,159,128,32,287,31,493,14960,1 (21),1,21,5 (319),5,5 (319),5,5 (319),5,5 (319),5,7,South,South Central,20,25,1,1,Accepted,1
15,15,27.0,Chase Smith,http://games.crossfit.com/athlete/105536,1,69.0,16 (329),329,11,195.0,103 (313),16 (430),38 (136),123 (274),49 (08:21),16,CrossFit Free,CrossFit Free,145.0,,95.0,,,56.0,,350.0,275.0,550.0,502.0,57.0,16,103,313,16,430,38,136,123,274,49,501,105536,2 (38),2,38,9 (313),9,9 (313),9,9 (313),9,9 (313),9,4,East,North East,20,20,1,1,Accepted,1
16,16,29.0,Paul Tremblay,http://games.crossfit.com/athlete/8356,1,70.0,17 (332),332,4,200.0,10 (331),92 (427),7 (141),211 (267),12 (07:57),16,CrossFit NCR,CrossFit NCR,132.0,,108.0,,451.0,60.0,,365.0,300.0,545.0,515.0,59.0,17,10,331,92,427,7,141,211,267,12,477,8356,2 (22),2,22,1 (331),1,1 (331),1,1 (331),1,1 (331),1,4,East,Canada East,20,24,1,1,Accepted,1
17,17,32.0,Andrey Ganin,http://games.crossfit.com/athlete/92567,1,72.83,18 (340),340,7,222.67,21 (325),199 (424),2 (146),29 (289),89 (08:35),16,Idol,CrossFit Idol,133.0,,,,,,1135.0,286.6,224.87,507.06,396.83,63.0,18,21,325,199,424,2,146,29,289,89,515,92567,2 (39),2,39,5 (325),5,5 (325),5,5 (325),5,5 (325),5,5,Meridian,Europe,30,32,1,1,Accepted,1
18,18,23.0,Christian Lucero,http://games.crossfit.com/athlete/6122,1,70.0,19 (346),346,16,190.0,96 (314),68 (427),58 (133),25 (292),99 (08:37),16,CFCM,CrossFit Costa Mesa,119.0,,70.0,,0.0,,,352.0,290.0,515.0,440.0,82.0,19,96,314,68,427,58,133,25,292,99,517,6122,3 (29),3,29,6 (314),6,6 (314),6,6 (314),6,6 (314),6,2,California,SoCal,20,24,1,1,Accepted,1
19,19,25.0,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,1,70.0,20 (378),378,4,195.0,103 (313),54 (428),87 (130),55 (282),79 (08:32),16,TEAM CrossFit ADM,CrossFit Adm,161.0,475.0,110.0,940.0,477.0,,1190.0,335.0,280.0,545.0,435.0,50.0,20,103,313,54,428,87,130,55,282,79,512,49510,5 (29),5,29,8 (313),8,8 (313),8,8 (313),8,8 (313),8,4,East,Canada East,20,24,1,1,Accepted,1
20,20,27.0,Anthony Vazquez,http://games.crossfit.com/athlete/230948,1,73.0,21 (381),381,11,209.0,161 (310),69 (427),70 (131),46 (283),35 (08:15),16,CrossFit Shrewsbury,CrossFit Shrewsbury,,,,,,,1176.0,325.0,265.0,505.0,435.0,,21,161,310,69,427,70,131,46,283,35,495,230948,3 (41),3,41,16 (310),16,16 (310),16,16 (310),16,16 (310),16,4,East,North East,20,20,1,1,Accepted,1
21,21,24.0,Jordan Cook,http://games.crossfit.com/athlete/111574,1,69.0,22 (402),402,14,186.0,17 (326),98 (426),182 (128),42 (284),63 (08:28),16,,Unaffiliated,134.0,421.0,97.0,,,60.0,1200.0,330.0,270.0,500.0,440.0,,22,17,326,98,426,182,128,42,284,63,508,111574,2 (27),2,27,1 (326),1,1 (326),1,1 (326),1,1 (326),1,7,South,South Central,20,25,1,1,Accepted,1
22,22,27.0,Simon Paquette,http://games.crossfit.com/athlete/19941,1,71.0,23 (411),411,4,198.0,170 (308),148 (425),16 (140),14 (295),63 (08:28),16,Lusine CrossFit Sherbrooke,L'Usine CrossFit Sherbrooke,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,23,170,308,148,425,16,140,14,295,63,508,19941,4 (27),4,27,10 (308),10,10 (308),10,10 (308),10,10 (308),10,4,East,Canada East,20,24,1,1,Accepted,1
23,23,25.0,Brent Fikowski,http://games.crossfit.com/athlete/107101,1,73.0,24 (429),429,5,212.0,13 (329),97 (426),65 (132),15 (295),239 (08:58),16,Kelowna Wildfire,Kelowna CrossFit,,,,,0.0,59.0,,0.0,290.0,0.0,405.0,0.0,24,13,329,97,426,65,132,15,295,239,538,107101,1 (8),1,8,1 (329),1,1 (329),1,1 (329),1,1 (329),1,8,West,Canada West,20,23,1,1,Accepted,1
24,24,27.0,Stefano Migliorini,http://games.crossfit.com/athlete/34601,1,68.11,25 (434),434,7,185.0,221 (303),94 (426),34 (137),33 (287),52 (08:23),16,,Reebok CrossFit Officine,129.0,420.0,98.0,,402.0,71.0,1200.0,326.28,253.53,518.09,518.09,72.0,25,221,303,94,426,34,137,33,287,52,503,34601,4 (71),4,71,45 (303),45,45 (303),45,45 (303),45,45 (303),45,5,Meridian,Europe,30,32,1,1,Accepted,1
25,25,28.0,Frederik Aegidius,http://games.crossfit.com/athlete/18543,1,68.5,26 (440),440,7,190.0,11 (330),14 (430),148 (128),187 (269),80 (08:33),16,CrossFit Reykjavik,Reebok CrossFit Reykjavík,147.0,480.0,100.0,1070.0,464.0,67.0,1340.0,341.72,264.55,507.06,462.97,50.0,26,11,330,14,430,148,128,187,269,80,513,18543,3 (53),3,53,2 (330),2,2 (330),2,2 (330),2,2 (330),2,5,Meridian,Europe,30,32,1,1,Accepted,1
26,26,22.0,Dre Strohm,http://games.crossfit.com/athlete/267027,1,69.0,27 (476),476,6,185.0,245 (301),47 (428),47 (134),105 (275),32 (08:14),16,CrossFit Mayhem Freedom,CrossFit Mayhem,,,,,,,,,,,,,27,245,301,47,428,47,134,105,275,32,494,267027,3 (43),3,43,17 (301),17,17 (301),17,17 (301),17,17 (301),17,3,Central,Central East,20,27,1,1,Accepted,1
27,27,28.0,Irving Hernandez,http://games.crossfit.com/athlete/55226,1,60.0,28 (484),484,15,155.0,51 (320),125 (425),115 (129),170 (270),23 (08:08),16,Trualliance Fitness,CrossFit TA,109.0,451.0,,881.0,481.0,,,335.0,245.0,505.0,500.0,115.0,28,51,320,125,425,115,129,170,270,23,488,55226,3 (56),3,56,7 (320),7,7 (320),7,7 (320),7,7 (320),7,1,Atlantic,South East,20,26,1,1,Accepted,1
28,28,27.0,Jack Long,http://games.crossfit.com/athlete/354850,1,70.0,29 (496),496,10,205.0,60 (319),8 (430),47 (134),149 (271),232 (08:57),16,,CrossFit HIDDENGYM,,,,,,,,365.0,295.0,525.0,505.0,,29,60,319,8,430,47,134,149,271,232,537,354850,3 (45),3,45,7 (319),7,7 (319),7,7 (319),7,7 (319),7,3,Central,North Central,20,21,1,1,Accepted,1
29,29,30.0,Daniel Tyminski,http://games.crossfit.com/athlete/5284,1,69.0,30 (522),522,11,195.0,189 (305),46 (428),113 (129),33 (287),141 (08:44),16,CrossFit Lindy,CrossFit Lindy,126.0,405.0,,890.0,504.0,,1118.0,345.0,295.0,525.0,445.0,0.0,30,189,305,46,428,113,129,33,287,141,524,5284,4 (60),4,60,22 (305),22,22 (305),22,22 (305),22,22 (305),22,4,East,North East,20,20,1,1,Accepted,1
30,30,29.0,Roy Gamboa,http://games.crossfit.com/athlete/95022,1,68.0,31 (529),529,14,200.0,42 (323),32 (430),59 (132),30 (289),366 (09:12),16,CrossFit Abilene,CrossFit Abilene,,,,,,,,,,,,,31,42,323,32,430,59,132,30,289,366,552,95022,4 (40),4,40,4 (323),4,4 (323),4,4 (323),4,4 (323),4,7,South,South Central,20,25,1,1,Accepted,1
31,31,28.0,Sam Dancer,http://games.crossfit.com/athlete/621610,1,70.0,32 (532),532,10,210.0,285 (299),82 (427),37 (137),35 (287),93 (08:36),16,,Qtown CrossFit,120.0,430.0,60.0,,484.0,,,365.0,315.0,655.0,535.0,65.0,32,285,299,82,427,37,137,35,287,93,516,621610,4 (57),4,57,32 (299),32,32 (299),32,32 (299),32,32 (299),32,3,Central,North Central,20,21,1,1,Accepted,1
32,32,27.0,Thomas Nay,http://games.crossfit.com/athlete/164081,1,67.0,33 (534),534,9,185.0,45 (322),107 (426),32 (138),134 (273),216 (08:55),16,,CrossFit Huntington,124.0,,,,,,1260.0,325.0,270.0,555.0,455.0,0.0,33,45,322,107,426,32,138,134,273,216,535,164081,1 (29),1,29,4 (322),4,4 (322),4,4 (322),4,4 (322),4,1,Atlantic,Mid Atlantic,20,22,1,1,Accepted,1
