,Unnamed: 0,Unnamed: 0.1,Athlete,Athlete_URL,Games_Finish,Year,Games_Score,Games_Place,Division,Event_#,Event_ID,Event_Place,Event_Points,Event_Raw_Score,Event_Score
0,0,0,Rich Froning,http://games.crossfit.com/athlete/11435,1 (1089),2012,1089.0,1,1,1,2012_01,18,51.0,00:48:59,2939.0
1,1,1,Matt Chan,http://games.crossfit.com/athlete/17703,2 (975),2012,975.0,2,1,1,2012_01,3,90.0,00:43:58,2638.0
2,2,2,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,3 (930),2012,930.0,3,1,1,2012_01,5,80.0,00:47:10,2830.0
3,3,3,Scott Panchik,http://games.crossfit.com/athlete/34796,4 (892),2012,892.0,4,1,1,2012_01,14,59.0,00:48:40,2920.0
4,4,4,Jason Khalipa,http://games.crossfit.com/athlete/12485,5 (885),2012,885.0,5,1,1,2012_01,22,43.0,00:49:24,2964.0
5,5,5,Dan Bailey,http://games.crossfit.com/athlete/47661,6 (860),2012,860.0,6,1,1,2012_01,15,57.0,00:48:56,2936.0
6,6,6,Marcus Hendren,http://games.crossfit.com/athlete/16421,7 (846),2012,846.0,7,1,1,2012_01,32,25.0,00:52:50,3170.0
7,7,7,Austin Malleolo,http://games.crossfit.com/athlete/10169,8 (840),2012,840.0,8,1,1,2012_01,21,45.0,00:49:07,2947.0
8,8,8,Chad Mackay,http://games.crossfit.com/athlete/51041,9 (829),2012,829.0,9,1,1,2012_01,2,95.0,00:43:04,2584.0
9,9,9,Graham Holmberg,http://games.crossfit.com/athlete/11451,10 (813),2012,813.0,10,1,1,2012_01,34,23.0,00:53:12,3192.0
10,10,10,Ben Smith,http://games.crossfit.com/athlete/43761,11 (808),2012,808.0,11,1,1,2012_01,15,57.0,00:48:56,2936.0
11,11,11,Nate Schrader,http://games.crossfit.com/athlete/53314,12 (801),2012,801.0,12,1,1,2012_01,35,22.0,00:53:17,3197.0
12,12,12,Spencer Hendel,http://games.crossfit.com/athlete/50866,13 (735),2012,735.0,13,1,1,2012_01,26,35.0,00:50:25,3025.0
13,13,13,Daniel Tyminski,http://games.crossfit.com/athlete/5284,14 (701),2012,701.0,14,1,1,2012_01,11,65.0,00:48:25,2905.0
14,14,14,Lucas Parker,http://games.crossfit.com/athlete/38209,15 (685),2012,685.0,15,1,1,2012_01,42,15.0,00:56:02,3362.0
15,15,15,Patrick Burke,http://games.crossfit.com/athlete/15617,16 (608),2012,608.0,16,1,1,2012_01,30,27.0,00:52:12,3132.0
16,16,16,Kenneth Leverich,http://games.crossfit.com/athlete/21343,17 (604),2012,604.0,17,1,1,2012_01,15,57.0,00:48:56,2936.0
17,17,17,Gabe Subry,http://games.crossfit.com/athlete/8496,18 (604),2012,604.0,18,1,1,2012_01,12,63.0,00:48:26,2906.0
18,18,18,Chase Daniels,http://games.crossfit.com/athlete/9241,19 (531),2012,531.0,19,1,1,2012_01,25,37.0,00:50:23,3023.0
19,19,19,Neal Maddox,http://games.crossfit.com/athlete/24156,20 (527),2012,527.0,20,1,1,2012_01,28,31.0,00:51:37,3097.0
20,20,20,Aja Barto,http://games.crossfit.com/athlete/36154,21 (519),2012,519.0,21,1,1,2012_01,44,13.0,00:57:07,3427.0
21,21,21,Chris Spealler,http://games.crossfit.com/athlete/27065,22 (495),2012,495.0,22,1,1,2012_01,9,69.0,00:48:12,2892.0
22,22,22,Jon Pera,http://games.crossfit.com/athlete/31660,23 (495),2012,495.0,23,1,1,2012_01,36,21.0,00:53:39,3219.0
23,23,23,Númi S. Katrínarson,http://games.crossfit.com/athlete/11391,24 (471),2012,471.0,24,1,1,2012_01,1,100.0,00:42:13,2533.0
24,24,24,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,25 (421),2012,421.0,25,1,1,2012_01,27,33.0,00:51:29,3089.0
25,25,25,Justin Allen,http://games.crossfit.com/athlete/1819,26 (397),2012,397.0,26,1,1,2012_01,31,26.0,00:52:40,3160.0
