,Age,Athlete,Athlete_URL,Gender,Height,Reg_Place,Reg_Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year
1,0,Jonathan Gibson,http://games.crossfit.com/athlete/105058,1,0,2 (10),0,5,0,2 (312),2 (427),2 (131),2 (282),2 (08:58),16
2,0,Adam Davidson,http://games.crossfit.com/athlete/70335,1,0,3 (13),0,5,0,2 (312),1 (429),4 (129),5 (268),1 (08:35),16
3,0,Lucas Parker,http://games.crossfit.com/athlete/38209,1,0,4 (24),0,5,0,10 (288),4 (426),3 (130),3 (277),4 (09:11),16
4,0,Kurt Baker,http://games.crossfit.com/athlete/96150,1,0,5 (45),0,5,0,8 (290),8 (345),5 (127),16 (246),8 (09:38),16
5,0,Josh kapacila,http://games.crossfit.com/athlete/6174,1,0,6 (53),0,5,0,5 (300),7 (345),18 (116),9 (253),14 (09:53),16
6,0,Robbie Perovich,http://games.crossfit.com/athlete/252855,1,0,7 (66),0,5,0,7 (294),19 (341),6 (127),7 (259),27 (10:17),16
7,0,Aaron Parker,http://games.crossfit.com/athlete/22394,1,0,8 (73),0,5,0,11 (286),25 (341),8 (124),19 (244),10 (09:42),16
8,0,Connor Vale,http://games.crossfit.com/athlete/12412,1,0,9 (81),0,5,0,6 (297),5 (425),21 (116),29 (238),20 (10:00),16
9,0,Jeffrey Hajner,http://games.crossfit.com/athlete/111607,1,0,9 (81),0,5,0,9 (289),24 (341),22 (115),21 (243),5 (09:24),16
0,0,Richard Froning Jr.,http://games.crossfit.com/athlete/11435,1,0,1 (9),0,6,0,4 (320),1 (430),2 (140),1 (315),1 (08:02),16
1,0,Scott Panchik,http://games.crossfit.com/athlete/34796,1,0,2 (11),0,6,0,4 (320),2 (430),1 (141),2 (299),2 (08:03),16
2,0,Dre Strohm,http://games.crossfit.com/athlete/267027,1,0,3 (43),0,6,0,17 (301),7 (428),4 (134),10 (275),5 (08:14),16
3,0,Paul Castillo,http://games.crossfit.com/athlete/571999,1,0,4 (54),0,6,0,2 (325),24 (424),17 (127),3 (297),8 (08:23),16
4,0,Alex Anderson,http://games.crossfit.com/athlete/5013,1,0,5 (58),0,6,0,9 (312),3 (430),6 (130),28 (263),12 (08:38),16
5,0,Cody Keathley,http://games.crossfit.com/athlete/11845,1,0,6 (61),0,6,0,8 (313),15 (425),19 (126),7 (278),12 (08:38),16
6,0,Bryan Wong,http://games.crossfit.com/athlete/420503,1,0,7 (76),0,6,0,43 (289),12 (426),3 (138),9 (275),9 (08:31),16
7,0,James Hobart,http://games.crossfit.com/athlete/4945,1,0,8 (78),0,6,0,22 (299),5 (430),28 (124),6 (279),17 (08:43),16
8,0,Saxon Panchik,http://games.crossfit.com/athlete/310970,1,0,9 (81),0,6,0,9 (312),17 (425),6 (130),20 (266),29 (09:09),16
9,0,Will Moorad,http://games.crossfit.com/athlete/35627,1,0,10 (92),0,6,0,12 (305),28 (423),30 (123),8 (278),14 (08:39),16
0,0,Björgvin Karl Guðmundsson,http://games.crossfit.com/athlete/81616,1,0,1 (24),0,7,0,8 (324),1 (430),5 (140),7 (283),3 (08:16),16
1,0,Andrey Ganin,http://games.crossfit.com/athlete/92567,1,0,2 (39),0,7,0,5 (325),18 (424),1 (146),4 (289),11 (08:35),16
2,0,Frederik Aegidius,http://games.crossfit.com/athlete/18543,1,0,3 (53),0,7,0,2 (330),2 (430),20 (128),22 (269),7 (08:33),16
3,0,Stefano Migliorini,http://games.crossfit.com/athlete/34601,1,0,4 (71),0,7,0,45 (303),8 (426),8 (137),5 (287),5 (08:23),16
4,0,Adrian Mundwiler,http://games.crossfit.com/athlete/698182,1,0,5 (73),0,7,0,13 (319),14 (425),10 (135),32 (265),4 (08:21),16
5,0,Hinrik Ingi Óskarsson,http://games.crossfit.com/athlete/81825,1,0,5 (73),0,7,0,19 (315),17 (424),9 (135),16 (272),12 (08:36),16
6,0,Jonne Koski,http://games.crossfit.com/athlete/173837,1,0,7 (76),0,7,0,1 (349),3 (428),12 (130),47 (262),13 (08:37),16
7,0,Steven Fawcett,http://games.crossfit.com/athlete/2559,1,0,8 (84),0,7,0,4 (327),16 (424),15 (129),21 (269),28 (08:53),16
8,0,Lukas Högberg,http://games.crossfit.com/athlete/24309,1,0,9 (88),0,7,0,17 (316),6 (427),53 (124),2 (293),10 (08:34),16
9,0,Bartlomiej Lipka,http://games.crossfit.com/athlete/179080,1,0,10 (95),0,7,0,14 (317),41 (423),33 (127),1 (307),6 (08:29),16
0,0,Santiago Ficcadenti,http://games.crossfit.com/athlete/289047,1,0,1 (24),0,8,0,5 (294),7 (423),8 (127),2 (272),2 (08:27),16
1,0,Franco Cozzi,http://games.crossfit.com/athlete/486498,1,0,2 (28),0,8,0,15 (289),5 (424),1 (130),1 (276),6 (08:59),16
2,0,Ivan Gaitan,http://games.crossfit.com/athlete/489763,1,0,3 (86),0,8,0,48 (270),6 (423),17 (124),12 (248),3 (08:34),16
3,0,Gonzalo Duro,http://games.crossfit.com/athlete/488667,1,0,3 (86),0,8,0,40 (273),17 (345),16 (124),3 (263),10 (09:23),16
4,0,Alan Garcia,http://games.crossfit.com/athlete/80076,1,0,5 (92),0,8,0,16 (288),8 (423),46 (116),15 (247),7 (09:10),16
5,0,Artur Machado,http://games.crossfit.com/athlete/69957,1,0,6 (95),0,8,0,11 (291),16 (345),21 (123),34 (242),13 (09:30),16
6,0,Mauro Calvete,http://games.crossfit.com/athlete/255757,1,0,7 (98),0,8,0,23 (280),18 (345),38 (118),4 (263),15 (09:34),16
7,0,Anderon Primo,http://games.crossfit.com/athlete/169360,1,0,8 (105),0,8,0,8 (293),3 (425),24 (122),19 (246),51 (10:19),16
8,0,Guilherme Domingues,http://games.crossfit.com/athlete/164978,1,0,9 (109),0,8,0,11 (291),10 (423),30 (120),37 (241),21 (09:45),16
9,0,Juan Cruz Sartori,http://games.crossfit.com/athlete/2220,1,0,10 (117),0,8,0,17 (287),11 (402),18 (124),18 (246),53 (10:20),16
0,0,Thomas Nay,http://games.crossfit.com/athlete/164081,1,0,1 (29),0,9,0,4 (322),8 (426),3 (138),5 (273),9 (08:55),16
1,0,Ben Smith,http://games.crossfit.com/athlete/43761,1,0,2 (49),0,9,0,9 (312),1 (430),15 (127),2 (283),22 (09:06),16
2,0,Craig Williams,http://games.crossfit.com/athlete/20093,1,0,3 (53),0,9,0,9 (312),2 (430),9 (128),20 (262),13 (09:00),16
