,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
34,Jeff Evans,http://games.crossfit.com/athlete/105614,1,43,14.0,CAP+82,4,85.0,375 lb,27,33.0,36:07.95,42,5.0,01:48.63,38,9.0,02:41.03,39,18.0,06:26.93,34,23.0,16:32.14,40,17.0,03:11.68,2,95.0,2 pt,26,35.0,06:27.58,37,20.0,09:43.2,CUT,,,CUT,,,,,,,,,35 (354),2014
35,Jordan Cook,http://games.crossfit.com/athlete/111574,1,19,49.0,36:37.09,20,47.0,330 lb,33,24.0,37:57.60,40,7.0,01:39.68,41,6.0,CAP,34,23.0,05:50.59,22,43.0,14:56.99,32,25.0,02:59.99,15,57.0,15 pt,30,27.0,06:51.05,22,43.0,07:53.9,CUT,,,CUT,,,,,,,,,36 (351),2014
36,Tyson Takasaki,http://games.crossfit.com/athlete/53824,1,32,25.0,42:37.20,10,67.0,356 lb,32,25.0,37:09.68,5,42.0,00:43.36,16,31.0,01:43.67,38,19.0,06:11.01,40,17.0,CAP,31,26.0,02:59.21,40,17.0,40 pt,39,18.0,08:32.61,13,61.0,07:15.1,CUT,,,CUT,,,,,,,,,37 (348),2014
37,Alex Nettey,http://games.crossfit.com/athlete/25957,1,41,16.0,CAP+26,23,41.0,326 lb,14,59.0,35:04.78,37,10.0,01:21.64,40,7.0,02:50.22,37,20.0,06:07.52,25,37.0,15:22.37,20,47.0,02:51.24,42,15.0,42 pt,33,24.0,07:09.55,8,71.0,06:36.9,CUT,,,CUT,,,,,,,,,38 (347),2014
38,Eric Carmody,http://games.crossfit.com/athlete/28040,1,30,27.0,41:35.56,34,23.0,315 lb,26,35.0,36:05.99,18,29.0,00:59.63,6,41.0,01:31.52,32,25.0,05:46.88,19,49.0,14:27.77,33,24.0,03:00.48,25,37.0,25 pt,41,16.0,09:25.06,32,25.0,09:16.3,CUT,,,CUT,,,,,,,,,39 (331),2014
39,Emmanuel Maldonado,http://games.crossfit.com/athlete/93488,1,40,17.0,CAP+3,39,18.0,295 lb,40,17.0,39:43.33,34,13.0,01:16.98,35,12.0,02:28.96,33,24.0,05:50.26,23,41.0,15:05.92,37,20.0,03:06.50,27,33.0,27 pt,32,25.0,07:02.55,40,17.0,CAP+2,CUT,,,CUT,,,,,,,,,40 (237),2014
40,Jeff Germond,http://games.crossfit.com/athlete/9193,1,28,31.0,40:15.36,31,26.0,316 lb,34,23.0,38:01.95,36,11.0,01:17.53,30,17.0,02:14.13,42,15.0,CAP+1,42,15.0,CAP+7,36,21.0,03:02.73,30,27.0,30 pt,40,17.0,09:10.42,30,27.0,08:54.9,CUT,,,CUT,,,,,,,,,41 (230),2014
41,Quinton Z Van Rooyen,http://games.crossfit.com/athlete/249055,1,27,33.0,40:13.22,41,16.0,275 lb,41,16.0,40:10.63,41,6.0,01:43.42,43,4.0,CAP+1,40,17.0,06:43.32,41,16.0,CAP+6,41,16.0,03:12.22,38,19.0,38 pt,31,26.0,07:00.64,40,17.0,CAP+2,CUT,,,CUT,,,,,,,,,42 (186),2014
42,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,1,36,21.0,44:35.94,20,47.0,330 lb,29,29.0,36:27.09,24,23.0,01:03.01,28,19.0,02:09.74,27,33.0,05:29.95,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,,,,,,,43 (172),2014
0,Ben Smith,http://games.crossfit.com/athlete/43761,1,7,72.0,49:20.51,34,12.0,CAP+2,10,60.0,42:45.12,2,94.0,2 pt,1,100.0,07:55.97,11,29.0,00:19.63,6,38.0,00:19.06,1,100.0,04:30.93,2,94.0,347 lb,6,76.0,05:08.34,7,72.0,13:19.00,4,84.0,05:23.05,4,84.0,05:01.20,,,,,,,1 (915),2015
