,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
39,Chad Mackay,http://games.crossfit.com/athlete/51041,1,4,84.0,46:15.29,4,84.0,10:55.00,18,44.0,47:05.95,11,58.0,11 pt,40,0.0,CAP+68,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,,,,,,,40 (270),2015
0,Mathew Fraser,http://games.crossfit.com/athlete/153604,1,1,100.0,34:10.27,23,34.0,505 lb,2,94.0,04:20.44,6,76.0,07:37.97,2,94.0,35:47.81,2,94.0,05:41.57,2,94.0,11:41.59,5,80.0,11:29.05,4,84.0,14:44.70,10,60.0,03:08.97,2,47.0,01:42.12,2,47.0,00:44.11,6,38.0,01:29.90,10,60.0,08:06.55,2,94.0,05:56.00,1 (1096),2016
1,Ben Smith,http://games.crossfit.com/athlete/43761,1,11,58.0,37:15.49,23,34.0,505 lb,12,56.0,04:41.29,7,72.0,07:42.51,6,76.0,38:09.35,4,84.0,06:20.82,9,64.0,12:59.88,4,84.0,11:19.18,19,42.0,CAP+45,5,80.0,03:00.23,7,36.0,02:05.49,3,44.0,00:44.44,23,17.0,01:48.44,5,80.0,07:56.67,7,72.0,06:35.66,2 (899),2016
2,Patrick Vellner,http://games.crossfit.com/athlete/158264,1,9,64.0,36:55.55,11,58.0,525 lb,3,88.0,04:22.44,35,10.0,09:17.59,9,64.0,39:03.53,18,44.0,08:16.63,8,68.0,12:48.42,2,94.0,11:09.97,10,60.0,CAP+18,9,64.0,03:08.89,8,34.0,02:08.28,13,27.0,00:45.65,7,36.0,01:31.14,3,88.0,07:50.14,9,64.0,06:51.07,3 (863),2016
3,Brent Fikowski,http://games.crossfit.com/athlete/107101,1,3,88.0,36:13.80,33,14.0,485 lb,1,100.0,04:14.10,3,88.0,07:18.52,28,24.0,43:39.85,39,2.0,CAP+14,10,60.0,13:09.12,1,100.0,10:53.17,30,20.0,CAP+90,1,100.0,02:46.01,18,22.0,02:30.79,10,30.0,00:45.37,15,25.0,01:37.84,1,100.0,07:32.17,3,88.0,06:07.52,4 (861),2016
4,Cole Sager,http://games.crossfit.com/athlete/153625,1,25,30.0,39:46.61,40,0.0,465 lb,4,84.0,04:29.05,9,64.0,07:49.13,18,44.0,40:43.49,32,16.0,10:52.78,18,44.0,13:39.53,3,88.0,11:16.06,1,100.0,12:03.14,3,88.0,02:51.80,9,32.0,02:08.82,20,20.0,00:46.60,25,15.0,01:52.15,2,94.0,07:45.15,4,84.0,06:13.64,5 (803),2016
5,Scott Panchik,http://games.crossfit.com/athlete/34796,1,28,24.0,40:01.83,11,58.0,525 lb,18,44.0,04:50.07,11,58.0,07:53.74,10,60.0,39:18.62,3,88.0,06:08.22,5,80.0,12:06.17,13,54.0,12:16.96,10,60.0,CAP+18,13,54.0,03:14.48,3,44.0,01:42.66,15,25.0,00:45.74,27,13.0,01:53.86,11,58.0,08:09.39,5,80.0,06:15.11,6 (800),2016
6,Jacob Heppner,http://games.crossfit.com/athlete/199938,1,4,84.0,36:22.43,28,24.0,495 lb,15,50.0,04:46.30,28,24.0,08:52.83,4,84.0,37:13.28,27,26.0,09:16.28,4,84.0,11:53.00,19,42.0,12:45.16,6,76.0,14:52.28,8,68.0,03:07.85,1,50.0,01:36.55,7,36.0,00:45.23,17,23.0,01:41.69,4,84.0,07:55.23,19,42.0,08:11.70,7 (797),2016
7,Björgvin Karl Guðmundsson,http://games.crossfit.com/athlete/81616,1,7,72.0,36:34.33,28,24.0,495 lb,5,80.0,04:31.29,17,46.0,08:12.01,5,80.0,38:06.84,19,42.0,08:38.58,31,18.0,14:54.32,8,68.0,11:43.80,9,64.0,15:58.93,6,76.0,03:01.04,13,27.0,02:20.82,8,34.0,00:45.28,22,18.0,01:47.30,27,26.0,08:53.11,10,60.0,06:51.18,8 (735),2016
8,Alex Vigneault,http://games.crossfit.com/athlete/180541,1,6,76.0,36:32.01,2,94.0,585 lb,25,30.0,05:07.30,20,40.0,08:22.08,13,54.0,39:45.00,11,58.0,07:31.14,14,52.0,13:18.90,17,46.0,12:29.71,23,34.0,CAP+86,24,32.0,03:41.34,27,13.0,02:44.14,6,38.0,00:45.22,18,22.0,01:42.36,9,64.0,08:06.07,13,54.0,07:26.17,9 (707),2016
9,Travis Mayer,http://games.crossfit.com/athlete/1690,1,8,68.0,36:53.46,11,58.0,525 lb,11,58.0,04:40.49,18,44.0,08:15.06,15,50.0,40:17.29,22,36.0,08:57.71,15,50.0,13:26.34,7,72.0,11:38.57,13,54.0,CAP+35,7,72.0,03:01.95,30,10.0,CAP+1,25,15.0,00:47.73,21,19.0,01:44.75,8,68.0,08:01.19,26,28.0,09:56.08,10 (702),2016
10,Alex Anderson,http://games.crossfit.com/athlete/5013,1,12,56.0,37:37.18,6,76.0,555 lb,13,54.0,04:41.93,23,34.0,08:38.06,8,68.0,38:56.94,1,100.0,05:21.09,19,42.0,13:42.97,15,50.0,12:23.26,27,26.0,CAP+89,15,50.0,03:19.11,33,7.0,CAP+2,5,40.0,00:45.11,11,29.0,01:34.94,20,40.0,08:39.06,28,24.0,CAP+2,11 (696),2016
11,Marcus Filly,http://games.crossfit.com/athlete/13913,1,31,18.0,41:16.55,17,46.0,515 lb,7,72.0,04:34.93,31,18.0,09:01.32,24,32.0,42:20.71,17,46.0,08:16.04,21,38.0,13:57.15,6,76.0,11:37.54,15,50.0,CAP+43,4,84.0,03:00.11,6,38.0,02:01.19,10,30.0,00:45.37,19,21.0,01:44.26,6,76.0,07:58.11,21,38.0,08:13.08,12 (683),2016
12,Josh Bridges,http://games.crossfit.com/athlete/124483,1,2,94.0,35:30.24,35,10.0,475 lb,9,64.0,04:35.94,14,52.0,07:59.03,1,100.0,34:38.83,24,32.0,09:06.32,12,56.0,13:17.34,9,64.0,11:54.29,7,72.0,15:04.30,28,24.0,03:46.66,16,24.0,02:29.04,34,6.0,00:49.80,12,28.0,01:35.52,21,38.0,08:41.23,33,14.0,CAP+26,13 (678),2016
13,Lukas Högberg,http://games.crossfit.com/athlete/24309,1,14,52.0,38:04.51,17,46.0,515 lb,8,68.0,04:35.12,12,56.0,07:55.95,23,34.0,42:04.31,21,38.0,08:53.57,24,32.0,14:03.43,16,48.0,12:29.70,21,38.0,CAP+72,11,58.0,03:09.99,21,19.0,02:35.26,28,12.0,00:48.57,2,47.0,01:22.58,7,72.0,07:58.20,30,20.0,CAP+10,14 (640),2016
14,Noah Ohlsen,http://games.crossfit.com/athlete/2725,1,32,16.0,41:34.12,23,34.0,505 lb,6,76.0,04:32.25,8,68.0,07:44.79,3,88.0,37:02.32,33,14.0,CAP+1,17,46.0,13:37.66,22,36.0,12:49.89,15,50.0,CAP+43,17,46.0,03:24.16,4,42.0,01:44.67,12,28.0,00:45.38,38,2.0,02:25.66,38,4.0,09:55.73,11,58.0,06:52.80,15 (608),2016
15,Samuel Kwant,http://games.crossfit.com/athlete/74320,1,13,54.0,37:47.36,35,10.0,475 lb,23,34.0,05:01.29,21,38.0,08:29.67,21,38.0,41:12.31,8,68.0,07:16.22,1,100.0,11:37.20,23,34.0,12:58.01,37,6.0,CAP+94,27,26.0,03:45.35,10,30.0,02:11.83,24,16.0,00:47.12,9,32.0,01:32.09,12,56.0,08:14.51,17,46.0,07:54.98,16 (588),2016
16,Rob Forte,http://games.crossfit.com/athlete/7285,1,10,60.0,37:08.00,28,24.0,495 lb,26,28.0,05:11.25,38,4.0,10:13.35,7,72.0,38:11.71,25,30.0,09:14.38,7,72.0,12:43.73,24,32.0,13:07.74,24,32.0,CAP+87,18,44.0,03:26.53,23,17.0,02:38.29,38,2.0,00:51.06,4,42.0,01:29.32,17,46.0,08:28.83,8,68.0,06:39.19,17 (573),2016
17,Christian Lucero,http://games.crossfit.com/athlete/6122,1,16,48.0,38:34.71,35,10.0,475 lb,17,46.0,04:49.16,19,42.0,08:16.95,14,52.0,40:00.46,37,6.0,CAP+7,26,28.0,14:32.73,25,30.0,13:08.97,2,94.0,12:05.21,12,56.0,03:10.31,14,26.0,02:24.22,21,19.0,00:46.70,3,44.0,01:28.45,31,18.0,09:11.84,15,50.0,07:36.79,18 (569),2016
18,Travis  Williams,http://games.crossfit.com/athlete/14960,1,34,12.0,42:03.07,4,84.0,565 lb,10,60.0,04:37.74,32,16.0,09:04.27,19,42.0,40:54.46,10,60.0,07:27.98,6,76.0,12:20.80,35,10.0,15:18.38,12,56.0,CAP+20,34,12.0,04:15.29,5,40.0,02:00.42,27,13.0,00:48.35,16,24.0,01:41.32,32,16.0,09:12.57,33,14.0,CAP+26,19 (535),2016
19,Garret Fisher,http://games.crossfit.com/athlete/21292,1,35,10.0,42:19.90,11,58.0,525 lb,31,18.0,05:15.15,10,60.0,07:51.57,30,20.0,44:10.77,6,76.0,07:01.13,11,58.0,13:11.70,14,52.0,12:19.88,33,14.0,CAP+91,30,20.0,03:59.33,33,7.0,CAP+2,19,21.0,00:46.54,1,50.0,01:17.90,22,36.0,08:43.42,25,30.0,09:43.00,20 (530),2016
20,Lukas Esslinger,http://games.crossfit.com/athlete/2766,1,17,46.0,38:37.37,7,72.0,545 lb,28,24.0,05:12.42,13,54.0,07:56.79,27,26.0,43:34.63,23,34.0,09:02.29,28,24.0,14:36.21,26,28.0,13:11.27,26,28.0,CAP+88,19,42.0,03:28.30,15,25.0,02:28.63,30,10.0,00:48.74,10,30.0,01:34.03,23,34.0,08:46.47,23,34.0,08:55.68,21 (511),2016
21,Lucas Parker,http://games.crossfit.com/athlete/38209,1,21,38.0,39:04.65,3,88.0,575 lb,34,12.0,05:22.00,37,6.0,09:44.83,35,10.0,48:10.22,5,80.0,06:36.98,30,20.0,14:44.88,30,20.0,13:54.01,27,26.0,CAP+89,14,52.0,03:16.03,30,10.0,CAP+1,9,32.0,00:45.35,33,7.0,02:06.62,15,50.0,08:24.80,12,56.0,07:12.08,22 (507),2016
22,Zak Carchedi,http://games.crossfit.com/athlete/96973,1,19,42.0,38:44.24,28,24.0,495 lb,38,4.0,05:45.70,27,26.0,08:49.91,26,28.0,42:57.86,15,50.0,08:08.35,23,34.0,13:59.76,18,44.0,12:39.18,14,52.0,CAP+41,22,36.0,03:38.05,20,20.0,02:32.51,16,24.0,00:45.95,32,8.0,02:06.04,34,12.0,09:26.20,1,100.0,05:37.75,23 (504),2016
23,James Newbury,http://games.crossfit.com/athlete/16080,1,26,28.0,39:54.32,11,58.0,525 lb,14,52.0,04:42.76,24,32.0,08:38.96,36,8.0,48:10.59,38,4.0,CAP+10,33,14.0,CAP+5,10,60.0,11:54.49,8,68.0,15:51.94,20,40.0,03:33.14,19,21.0,02:31.44,14,26.0,00:45.71,14,26.0,01:36.95,25,30.0,08:49.20,22,36.0,08:53.29,24 (503),2016
24,Rasmus Wisbech Andersen,http://games.crossfit.com/athlete/8896,1,22,36.0,39:15.34,35,10.0,475 lb,21,38.0,04:57.19,4,84.0,07:20.82,32,16.0,44:44.37,16,48.0,08:14.92,3,88.0,11:46.86,28,24.0,13:25.35,22,36.0,CAP+78,23,34.0,03:39.00,29,11.0,02:52.37,36,4.0,00:50.58,8,34.0,01:31.60,30,20.0,09:07.20,33,14.0,CAP+26,25 (497),2016
25,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,1,18,44.0,38:38.05,11,58.0,525 lb,29,22.0,05:13.60,29,22.0,08:55.51,22,36.0,41:44.04,28,24.0,09:32.67,25,30.0,14:08.10,21,38.0,12:47.60,17,46.0,CAP+44,21,38.0,03:36.64,28,12.0,02:47.75,23,17.0,00:46.88,24,16.0,01:50.99,13,54.0,08:21.74,24,32.0,09:42.54,26 (489),2016
26,Gary Helmick,http://games.crossfit.com/athlete/44402,1,23,34.0,39:25.39,17,46.0,515 lb,20,40.0,04:56.98,39,2.0,10:38.21,20,40.0,41:01.79,35,10.0,CAP+4,32,16.0,CAP+2,20,40.0,12:45.56,30,20.0,CAP+90,2,94.0,02:50.21,37,3.0,CAP+3,4,42.0,00:45.06,34,6.0,02:07.18,35,10.0,09:36.95,6,76.0,06:24.85,27 (479),2016
27,Ben Stoneberg,http://games.crossfit.com/athlete/30740,1,20,40.0,38:50.77,17,46.0,515 lb,19,42.0,04:53.17,30,20.0,08:59.11,11,58.0,39:30.32,20,40.0,08:49.41,38,4.0,CAP+42,31,18.0,14:02.82,3,88.0,12:59.54,38,4.0,CAP+5,12,28.0,02:18.88,35,5.0,00:50.52,28,12.0,01:54.20,26,28.0,08:51.16,20,40.0,08:13.04,28 (473),2016
28,Jacob Anderson,http://games.crossfit.com/athlete/155824,1,36,8.0,42:26.12,9,64.0,535 lb,37,6.0,05:40.78,33,14.0,09:13.70,12,56.0,39:40.37,12,56.0,07:32.48,20,40.0,13:54.62,38,4.0,20:13.50,5,80.0,14:45.14,26,28.0,03:44.93,17,23.0,02:29.88,31,9.0,00:48.77,39,1.0,02:27.32,24,32.0,08:47.61,30,20.0,CAP+10,29 (441),2016
29,Sean Sweeney,http://games.crossfit.com/athlete/134617,1,37,6.0,42:28.74,17,46.0,515 lb,22,36.0,05:00.68,5,80.0,07:35.88,33,14.0,45:53.16,34,12.0,CAP+3,29,22.0,14:37.22,11,58.0,12:03.70,35,10.0,CAP+92,35,10.0,04:21.00,22,18.0,02:38.24,32,8.0,00:49.17,36,4.0,02:09.23,18,44.0,08:35.07,14,52.0,07:34.94,30 (420),2016
30,Logan Collins,http://games.crossfit.com/athlete/123764,1,27,26.0,40:00.44,23,34.0,505 lb,30,20.0,05:15.00,26,28.0,08:43.74,16,48.0,40:29.24,31,18.0,10:23.17,36,8.0,CAP+26,12,56.0,12:14.87,20,40.0,CAP+47,29,22.0,03:53.85,11,29.0,02:12.65,18,22.0,00:46.46,37,3.0,02:19.72,29,22.0,08:58.49,18,44.0,07:55.26,31 (420),2016
31,Sam Dancer,http://games.crossfit.com/athlete/621610,1,40,0.0,46:44.36,1,100.0,615 lb,16,48.0,04:48.49,25,30.0,08:42.23,38,4.0,50:38.82,9,64.0,07:20.03,27,26.0,14:33.03,36,8.0,16:35.51,24,32.0,CAP+87,33,14.0,04:11.02,33,7.0,CAP+2,39,1.0,01:13.72,12,28.0,01:35.52,19,42.0,08:38.16,33,14.0,CAP+26,32 (418),2016
32,Spencer Hendel,http://games.crossfit.com/athlete/50866,1,33,14.0,41:42.56,4,84.0,565 lb,33,14.0,05:19.56,16,48.0,08:04.85,37,6.0,49:10.96,14,52.0,08:05.81,16,48.0,13:30.10,33,14.0,14:38.55,39,1.0,CAP+136,37,6.0,04:50.12,38,2.0,CAP+5,29,11.0,00:48.64,5,40.0,01:29.41,16,48.0,08:26.26,39,2.0,CAP+27,33 (390),2016
33,Adrian Mundwiler,http://games.crossfit.com/athlete/698182,1,5,80.0,36:29.25,33,14.0,485 lb,27,26.0,05:12.19,34,12.0,09:16.87,17,46.0,40:41.69,29,22.0,10:10.46,35,10.0,CAP+15,27,26.0,13:13.50,17,46.0,CAP+44,38,4.0,CAP+5,24,16.0,02:39.94,33,7.0,00:49.20,30,10.0,02:04.31,33,14.0,09:15.58,16,48.0,07:47.93,34 (381),2016
34,Roy Gamboa,http://games.crossfit.com/athlete/95022,1,29,22.0,40:15.48,7,72.0,545 lb,39,2.0,05:45.73,36,8.0,09:18.04,25,30.0,42:34.14,26,28.0,09:15.90,22,36.0,13:58.96,29,22.0,13:25.75,30,20.0,CAP+90,25,30.0,03:43.33,25,15.0,02:39.97,1,50.0,00:43.84,31,9.0,02:04.55,36,8.0,09:49.61,27,26.0,CAP,35 (378),2016
35,Joseph Guesnier,http://games.crossfit.com/athlete/95767,1,39,2.0,44:12.36,9,64.0,535 lb,32,16.0,05:16.44,40,0.0,11:01.63,39,2.0,51:04.31,7,72.0,07:15.26,13,54.0,13:17.40,37,6.0,16:35.58,38,4.0,CAP+135,16,48.0,03:21.20,26,14.0,02:42.43,17,23.0,00:45.97,35,5.0,02:09.16,28,24.0,08:56.90,29,22.0,CAP+5,36 (356),2016
36,Mitchell Sinnamon,http://games.crossfit.com/athlete/284801,1,30,20.0,40:59.54,28,24.0,495 lb,24,32.0,05:07.14,15,50.0,07:59.48,34,12.0,47:39.61,13,54.0,07:51.65,37,6.0,CAP+36,32,16.0,14:13.02,27,26.0,CAP+89,32,16.0,04:05.80,39,1.0,CAP+10,37,3.0,00:50.85,29,11.0,01:57.29,14,52.0,08:23.28,33,14.0,CAP+26,37 (337),2016
37,Khan Porter,http://games.crossfit.com/athlete/105874,1,15,50.0,38:20.81,23,34.0,505 lb,35,10.0,05:26.65,2,94.0,07:03.17,29,22.0,43:50.04,36,8.0,CAP+7,34,12.0,CAP+13,39,2.0,CAP+3,36,8.0,CAP+93,31,18.0,03:59.55,30,10.0,CAP+1,22,18.0,00:46.72,20,20.0,01:44.33,37,6.0,09:50.20,32,16.0,CAP+19,38 (328),2016
38,Zeke Grove,http://games.crossfit.com/athlete/180106,1,38,4.0,43:18.60,17,46.0,515 lb,36,8.0,05:32.55,22,36.0,08:37.05,31,18.0,44:24.14,30,20.0,10:14.86,39,2.0,CAP+79,34,12.0,15:06.30,33,14.0,CAP+91,36,8.0,04:27.55,33,7.0,CAP+2,26,14.0,00:47.83,26,14.0,01:53.22,39,2.0,CAP+4,33,14.0,CAP+26,39 (219),2016
39,Jonne Koski,http://games.crossfit.com/athlete/173837,1,24,32.0,39:44.77,35,10.0,475 lb,40,0.0,05:48.12,1,100.0,06:54.85,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,40 (142),2016
0,Annie Thorisdottir,http://games.crossfit.com/athlete/18588,2,16,55.0,53:58.0,14,59.0,2:18:24.0,3,90.0,45.92,33,14.0,74.00 in,4,44.0,55 pt,12,63.0,10:11.8,1,100.0,05:04.1,15,32.0,00:50.3,2,95.0,09:11.3,3,90.0,220.09 lb,3,90.0,08:15.0,5,80.0,04:29.6,6,75.0,04:24.0,1,100.0,01:29.0,6,75.0,03:05.0,1 (1062),2012
1,Julie Foucher,http://games.crossfit.com/athlete/46243,2,2,95.0,49:18.0,1,100.0,2:05:12.0,5,80.0,45.84,29,18.0,77.50 in,12,35.0,51 pt,1,100.0,08:49.1,27,33.0,10:10.0,24,23.0,00:51.8,9,69.0,10:25.5,27,33.0,190.07 lb,1,100.0,07:43.5,10,67.0,05:13.0,9,69.0,04:52.8,6,75.0,01:58.1,5,80.0,03:02.3,2 (977),2012
2,Talayna Fortunato,http://games.crossfit.com/athlete/11279,2,14,59.0,53:22.0,9,69.0,2:15:17.0,1,100.0,43.39,1,50.0,95.50 in,31,16.0,39 pt,6,75.0,09:43.8,3,90.0,05:19.5,14,33.0,00:50.1,11,65.0,10:50.5,23,41.0,195.03 lb,9,69.0,09:38.4,9,69.0,04:58.6,15,57.0,06:06.0,4,85.0,01:55.6,2,95.0,02:36.8,3 (973),2012
3,Kristan Clever,http://games.crossfit.com/athlete/36734,2,34,23.0,59:14.0,28,31.0,2:28:47.0,2,95.0,43.94,6,41.0,89.00 in,9,38.0,52 pt,2,95.0,09:02.4,6,75.0,06:50.0,38,9.0,00:55.0,4,85.0,10:03.4,20,47.0,195.05 lb,2,95.0,08:10.8,16,55.0,05:38.8,2,95.0,04:07.8,3,90.0,01:48.0,3,90.0,02:42.4,4 (964),2012
4,Valerie Voboril,http://games.crossfit.com/athlete/50601,2,10,67.0,51:22.0,5,80.0,2:09:45.0,21,45.0,55.4,19,28.0,82.50 in,31,16.0,39 pt,3,90.0,09:09.6,10,67.0,07:16.4,11,36.0,00:50.0,7,73.0,10:17.0,40,17.0,170.03 lb,10,67.0,09:52.2,11,65.0,05:13.4,3,90.0,04:16.8,13,61.0,02:39.2,4,85.0,02:44.2,5 (887),2012
5,Camille Leblanc-Bazinet,http://games.crossfit.com/athlete/8404,2,23,41.0,55:13.0,33,24.0,2:36:54.0,20,47.0,55.21,37,10.0,71.00 in,12,35.0,51 pt,5,80.0,09:13.0,2,95.0,05:18.5,25,22.0,00:51.9,6,75.0,10:15.3,7,73.0,210.05 lb,8,71.0,09:10.3,23,41.0,06:07.5,4,85.0,04:20.0,10,67.0,02:22.0,1,100.0,02:35.3,6 (866),2012
6,Elisabeth Akinwale,http://games.crossfit.com/athlete/7965,2,22,43.0,54:56.0,24,39.0,2:26:08.0,7,73.0,49.13,16,31.0,84.00 in,2,48.0,57 pt,19,49.0,10:50.0,25,37.0,10:07.0,23,24.0,00:51.4,13,61.0,10:59.2,1,100.0,235.05 lb,11,65.0,10:05.3,1,100.0,03:48.2,16,55.0,06:07.0,9,69.0,02:09.8,11,65.0,04:05.7,7 (859),2012
7,Jenny Davis,http://games.crossfit.com/athlete/28918,2,8,71.0,50:33.0,7,73.0,2:12:09.0,30,27.0,67.81,38,9.0,68.50 in,41,6.0,33 pt,4,85.0,09:10.0,29,29.0,10:23.0,18,29.0,00:50.5,5,80.0,10:11.0,14,59.0,200.08 lb,4,85.0,08:52.0,3,90.0,04:11.4,7,73.0,04:38.4,8,71.0,02:04.3,9,69.0,03:52.0,8 (856),2012
8,Lindsey Valenzuela,http://games.crossfit.com/athlete/30192,2,12,63.0,53:04.0,21,45.0,2:25:03.0,37,20.0,72.95,39,8.0,66.50 in,12,35.0,51 pt,19,49.0,10:50.0,4,85.0,06:13.4,11,36.0,00:50.0,25,37.0,12:26.0,2,95.0,235.02 lb,7,73.0,09:04.0,15,57.0,05:34.3,5,80.0,04:20.5,2,95.0,01:35.4,10,67.0,04:02.0,9 (845),2012
9,Rebecca Voigt,http://games.crossfit.com/athlete/8015,2,30,27.0,57:24.0,17,53.0,2:23:25.0,22,43.0,55.71,30,17.0,77.00 in,7,40.0,53 pt,13,61.0,10:16.0,11,65.0,07:21.0,31,16.0,00:53.0,1,100.0,08:49.4,9,69.0,205.06 lb,12,63.0,10:09.4,4,85.0,04:26.0,12,63.0,05:54.0,12,63.0,02:30.6,8,71.0,03:33.7,10 (836),2012
10,Christy Phillips,http://games.crossfit.com/athlete/9121,2,6,75.0,50:23.0,2,95.0,2:05:33.0,11,65.0,50.32,4,44.0,91.00 in,40,7.0,37 pt,8,71.0,09:59.1,19,49.0,09:04.4,3,46.0,00:47.9,18,51.0,11:35.3,20,47.0,195.05 lb,28,31.0,12:08.0,12,63.0,05:17.0,13,61.0,06:01.0,14,59.0,04:00.8,12,63.0,04:15.0,11 (827),2012
11,Stacie Tovar,http://games.crossfit.com/athlete/5512,2,17,53.0,54:02.0,15,57.0,2:21:10.0,26,35.0,62.92,6,41.0,89.00 in,24,23.0,46 pt,7,73.0,09:55.6,20,47.0,09:41.4,5,42.0,00:48.3,42,15.0,13:11.0,18,51.0,195.09 lb,5,80.0,08:55.8,6,75.0,04:40.0,10,67.0,05:05.7,7,73.0,02:01.0,7,73.0,03:16.6,12 (805),2012
12,Deborah Cordner Carson,http://games.crossfit.com/athlete/14093,2,42,15.0,1:10:43.0,36,21.0,2:43:56.0,10,67.0,50.21,24,23.0,80.50 in,31,16.0,39 pt,11,65.0,10:11.0,22,43.0,10:04.0,1,50.0,00:46.1,19,49.0,11:45.0,6,75.0,215.03 lb,16,55.0,10:21.4,14,59.0,05:29.0,1,100.0,03:35.2,5,80.0,01:57.2,CUT,,,13 (718),2012
13,Becky Conzelman,http://games.crossfit.com/athlete/36699,2,4,85.0,49:52.0,8,71.0,2:13:54.0,33,24.0,69.34,24,23.0,80.50 in,7,40.0,53 pt,21,45.0,10:52.1,9,69.0,07:03.8,21,26.0,00:51.2,15,57.0,11:07.3,27,33.0,190.07 lb,15,57.0,10:18.9,22,43.0,06:05.4,8,71.0,04:41.5,11,65.0,02:27.0,CUT,,,14 (709),2012
14,Cheryl Brost,http://games.crossfit.com/athlete/8770,2,35,22.0,59:24.0,12,63.0,2:16:04.0,13,61.0,52.12,10,37.0,86.50 in,1,50.0,61 pt,17,53.0,10:35.5,15,57.0,07:46.4,15,32.0,00:50.3,16,55.0,11:10.5,35,22.0,180.02 lb,13,61.0,10:15.0,8,71.0,04:45.4,11,65.0,05:19.0,15,57.0,04:29.0,CUT,,,15 (706),2012
15,Angie Pye,http://games.crossfit.com/athlete/8741,2,9,69.0,50:43.0,6,75.0,2:10:48.0,12,63.0,51.1,40,7.0,62.50 in,16,31.0,50 pt,35,22.0,12:17.0,5,80.0,06:43.0,34,13.0,00:53.5,12,63.0,10:55.4,19,49.0,195.07 lb,19,49.0,10:36.7,18,51.0,05:41.1,14,59.0,06:03.0,CUT,,,CUT,,,16 (631),2012
16,Ruth Anderson Horrell,http://games.crossfit.com/athlete/25528,2,1,100.0,48:14.0,3,90.0,2:05:34.0,38,19.0,73.62,41,6.0,57.00 in,20,27.0,48 pt,26,35.0,11:24.9,39,18.0,10:43.0,11,36.0,00:50.0,14,59.0,11:06.2,17,53.0,200.04 lb,29,29.0,12:34.0,2,95.0,04:07.8,16,55.0,06:07.0,CUT,,,CUT,,,17 (622),2012
17,Azadeh Boroumand,http://games.crossfit.com/athlete/7747,2,32,25.0,58:12.0,19,49.0,2:24:43.0,34,23.0,69.89,10,37.0,86.50 in,22,25.0,47 pt,31,26.0,11:53.0,8,71.0,07:03.0,26,21.0,00:52.2,3,90.0,09:58.3,13,61.0,205.00 lb,17,53.0,10:23.0,7,73.0,04:40.2,18,51.0,06:17.0,CUT,,,CUT,,,18 (605),2012
18,Kara Gordon,http://games.crossfit.com/athlete/2942,2,5,80.0,50:17.0,10,67.0,2:15:23.0,23,41.0,61.95,27,20.0,79.00 in,28,19.0,42 pt,16,55.0,10:30.0,32,25.0,10:24.0,15,32.0,00:50.3,40,17.0,13:08.0,10,67.0,205.05 lb,14,59.0,10:17.7,21,45.0,05:46.5,CUT,,,CUT,,,CUT,,,19 (527),2012
19,Jessa Lemoine,http://games.crossfit.com/athlete/11321,2,27,33.0,56:10.0,23,41.0,2:25:52.0,9,69.0,49.41,4,44.0,91.00 in,9,38.0,52 pt,29,29.0,11:35.0,18,51.0,08:53.5,19,28.0,00:50.7,28,31.0,12:54.8,8,71.0,205.09 lb,23,41.0,11:16.8,20,47.0,05:43.5,CUT,,,CUT,,,CUT,,,20 (523),2012
20,Lindsey Smith,http://games.crossfit.com/athlete/52940,2,15,57.0,53:32.0,29,29.0,2:29:05.0,35,22.0,71.83,12,35.0,85.00 in,26,21.0,43 pt,33,24.0,12:00.0,26,35.0,10:08.0,10,37.0,00:49.9,7,73.0,10:17.0,4,85.0,220.03 lb,18,51.0,10:34.2,17,53.0,05:39.7,CUT,,,CUT,,,CUT,,,21 (522),2012
21,Heather Welsh,http://games.crossfit.com/athlete/11626,2,26,35.0,56:03.0,22,43.0,2:25:37.0,29,29.0,66.64,8,39.0,88.50 in,9,38.0,52 pt,27,33.0,11:30.0,22,43.0,10:04.0,2,48.0,00:46.2,27,33.0,12:42.0,10,67.0,205.05 lb,25,37.0,11:39.3,13,61.0,05:28.0,CUT,,,CUT,,,CUT,,,22 (506),2012
