Unnamed: 0,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Score,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score
30,22,Lauren Fisher,http://games.crossfit.com/athlete/19117,31 (351),0,65.0,0,19117,138.0,105 (294),13 (430),184 (116),18 (288),31 (08:34),16,Invictus,CrossFit Invictus,139.0,,,,0,66.0,,242.0,183.0,0.0,290.0,50,31,351,105,294,13,430,184,116,18,288,31,514
31,29,Sarabeth Phillips,http://games.crossfit.com/athlete/36285,32 (396),0,61.0,0,36285,128.0,139 (291),39 (430),17 (132),73 (266),128 (09:10),16,,CrossFit Calidus,139.0,532.0,94.0,,0,,,230.0,190.0,330.0,290.0,54,32,396,139,291,39,430,17,132,73,266,128,550
32,28,Mekenzie Riley,http://games.crossfit.com/athlete/93497,33 (418),0,64.0,0,93497,145.0,49 (304),55 (430),219 (116),54 (269),41 (08:38),16,OC3 Black,CrossFit OC3,,,,,,,,,,,,,33,418,49,304,55,430,219,116,54,269,41,518
33,33,Kirsten Pedri,http://games.crossfit.com/athlete/10760,34 (420),0,69.0,0,10760,150.0,98 (295),85 (427),84 (122),36 (275),117 (09:07),16,,CrossFit Davis,,,,,,,,215.0,170.0,350.0,270.0,38,34,420,98,295,85,427,84,122,36,275,117,547
34,29,Chyna Cho,http://games.crossfit.com/athlete/27975,35 (431),0,68.0,0,27975,147.0,76 (299),109 (426),101 (120),56 (269),89 (08:58),16,,CrossFit of Fremont,137.0,,120.0,,0,,,209.0,170.0,315.0,286.0,50,35,431,76,299,109,426,101,120,56,269,89,538
35,28,Kristin Miller,http://games.crossfit.com/athlete/3215,36 (444),0,64.0,0,3215,135.0,68 (300),148 (425),48 (127),149 (258),31 (08:34),16,CrossFit Amplify,CrossFit Amplify,158.0,,124.0,,,,,200.0,165.0,325.0,285.0,,36,444,68,300,148,425,48,127,149,258,31,514
36,25,Kristine Andali,http://games.crossfit.com/athlete/109250,37 (445),0,62.2,0,109250,140.0,155 (290),51 (430),99 (120),39 (274),101 (09:01),16,Team Dogtown,DogTown CrossFit,116.0,,,,,,,240.0,185.0,345.0,305.0,,37,445,155,290,51,430,99,120,39,274,101,541
37,32,Alethea Boon,http://games.crossfit.com/athlete/235218,38 (446),0,63.0,0,235218,128.0,13 (326),264 (423),6 (140),94 (262),69 (08:51),16,CrossFit Active,CrossFit Active Artarmon,,,,,,,,,,,,,38,446,13,326,264,423,6,140,94,262,69,531
38,30,Chelsey Hughes,http://games.crossfit.com/athlete/189706,39 (449),0,65.0,0,189706,131.0,32 (312),35 (430),150 (117),58 (268),174 (09:18),16,BRICK New York,Brick CrossFit Grand Central Station,146.0,,109.0,1132.0,452,,1219.0,225.0,175.0,335.0,285.0,54,39,449,32,312,35,430,150,117,58,268,174,558
39,30,Martina Barbaro,http://games.crossfit.com/athlete/7290,40 (476),0,64.57,0,7290,125.0,11 (329),187 (424),178 (116),23 (282),77 (08:55),16,,Reebok CrossFit Officine,165.0,494.0,,960.0,0,80.0,1167.0,198.42,152.12,363.76,286.6,50,40,476,11,329,187,424,178,116,23,282,77,535
40,28,Brista Mayfield,http://games.crossfit.com/athlete/5785,41 (482),0,62.0,0,5785,138.0,46 (305),84 (427),24 (130),112 (260),216 (09:25),16,,CrossFit TBR,168.0,488.0,111.0,,0,,1331.0,217.0,172.0,320.0,275.0,40,41,482,46,305,84,427,24,130,112,260,216,565
41,27,Emily Abbott,http://games.crossfit.com/athlete/180250,42 (495),0,67.0,0,180250,164.0,164 (289),44 (430),67 (124),71 (266),149 (09:14),16,CrossFit Currie Barracks,CrossFit Currie Barracks,,,,,,,,240.0,190.0,,,,42,495,164,289,44,430,67,124,71,266,149,554
42,24,Brittany Chestnut,http://games.crossfit.com/athlete/294332,43 (496),0,63.0,0,294332,124.0,32 (312),158 (425),79 (123),215 (253),12 (08:12),16,Skyline CrossFit,Skyline CrossFit,,,,,,,,211.64,178.57,319.67,,,43,496,32,312,158,425,79,123,215,253,12,492
43,26,Sara Armanius,http://games.crossfit.com/athlete/148444,44 (508),0,63.78,0,148444,149.0,128 (292),46 (430),252 (115),10 (296),72 (08:53),16,Team Fit4Life,F4L CrossFit,,,,,,,,191.8,154.32,297.62,264.55,,44,508,128,292,46,430,252,115,10,296,72,533
